evaluation,events,positive_events,positive_fraction,spearman_regression,auc_regression,auc_classifier,average_precision_regression,average_precision_classifier
P15_to_P17_zero_shot,363,39,0.107438016529,0.07442095433,0.574390629946,0.538303260525,0.12123312996,0.11859398721
P17_to_P15_zero_shot,225,48,0.213333333333,0.302594322346,0.600988700565,0.586629001883,0.372854080332,0.29443325338
P17_temporal_4block_OOF,363,39,0.107438016529,0.409314433269,0.715337132004,0.651076289965,0.235383655882,0.23477558276
P17_to_MOT20-01_zero_shot,46,12,0.260869565217,0.652590558663,0.946078431373,0.855392156863,0.872443181818,0.712416794675
P17_to_MOT20-02_zero_shot,69,16,0.231884057971,0.155692355071,0.518867924528,0.505896226415,0.367336140617,0.257823565879
P17_to_MOT20-03_zero_shot,55,10,0.181818181818,0.287785288209,0.557777777778,0.513333333333,0.234514836737,0.198723824566
P17_to_MOT20-05_zero_shot,55,10,0.181818181818,0.106839737137,0.346666666667,0.457777777778,0.154826005501,0.191236902874
