model_mode,selected_windows,covered_sequences,positive_windows,negative_windows,zero_windows,utility_sum,worst_sequence_utility,eligible,MOT17-02-FRCNN_utility,MOT17-04-FRCNN_utility,MOT17-05-FRCNN_utility,MOT17-09-FRCNN_utility,MOT17-10-FRCNN_utility,MOT17-11-FRCNN_utility,MOT17-13-FRCNN_utility
multitask,28,7,7,18,3,-2.28610983793,-0.642163011554,0,-0.340548914991,-0.642163011554,-0.156496215822,-0.256300445641,-0.583718208279,-0.346774006414,0.039890964771
raw,28,7,5,22,1,-2.660748607002,-1.076623592349,0,-0.122427215945,-0.642163011554,-0.156496215822,-1.076623592349,-0.370362043895,-0.346774006414,0.054097478977
