selected_windows,positive_windows,negative_windows,positive_precision,utility_sum,minimum_selected_utility,coverage,eligible,retrieval_spec,seq,outer_rank_start,outer_rank_end
3,0,3,0.0,-0.212746,-0.08515,1.0,0,compact_standard_k1_nearest_positive,MOT20-02,41,60
1,0,1,0.0,-0.055457,-0.055457,0.333333333333,0,compact_standard_k3_vote67,MOT20-02,41,60
0,0,0,0.0,0.0,0.0,0.0,0,compact_standard_k3_q25,MOT20-02,41,60
0,0,0,0.0,0.0,0.0,0.0,0,compact_robust_k3_q25,MOT20-02,41,60
3,0,3,0.0,-0.033832,-0.015253,1.0,0,compact_robust_k7_vote,MOT20-02,41,60
3,1,2,0.333333333333,-0.108117,-0.055457,1.0,0,mechanism_robust_k5_pmean,MOT20-02,41,60
3,0,3,0.0,-0.1256,-0.055457,1.0,0,mechanism_robust_k5_vote,MOT20-02,41,60
3,2,1,0.666666666667,-0.041134,-0.055457,1.0,0,mechanism_robust_k7_pmean,MOT20-02,41,60
1,0,1,0.0,-0.00954,-0.00954,0.333333333333,0,mechanism_standard_k5_mean,MOT20-02,41,60
3,1,2,0.333333333333,-0.147,-0.13969,1.0,0,mechanism_standard_k7_pmean,MOT20-02,41,60
3,1,2,0.333333333333,-0.152674,-0.10729,1.0,0,compact_standard_k1_nearest_positive,MOT20-02,61,80
3,3,0,1.0,0.054015,0.000435,1.0,1,compact_standard_k3_vote67,MOT20-02,61,80
1,1,0,1.0,0.05033,0.05033,0.333333333333,0,compact_standard_k3_q25,MOT20-02,61,80
2,1,1,0.5,0.001795,-0.000435,0.666666666667,0,compact_robust_k3_q25,MOT20-02,61,80
3,1,2,0.333333333333,0.034227,-0.015253,1.0,0,compact_robust_k7_vote,MOT20-02,61,80
3,2,1,0.666666666667,0.053145,-0.000435,1.0,0,mechanism_robust_k5_pmean,MOT20-02,61,80
3,2,1,0.666666666667,0.053145,-0.000435,1.0,0,mechanism_robust_k5_vote,MOT20-02,61,80
3,1,2,0.333333333333,0.034642,-0.015253,1.0,0,mechanism_robust_k7_pmean,MOT20-02,61,80
3,2,1,0.666666666667,0.04235,-0.000435,1.0,0,mechanism_standard_k5_mean,MOT20-02,61,80
3,1,2,0.333333333333,-0.032962,-0.018144,1.0,0,mechanism_standard_k7_pmean,MOT20-02,61,80
3,0,3,0.0,-0.27298,-0.15477,1.0,0,compact_standard_k1_nearest_positive,MOT20-02,81,100
2,0,2,0.0,-0.048415,-0.04826,0.666666666667,0,compact_standard_k3_vote67,MOT20-02,81,100
1,0,1,0.0,-0.04826,-0.04826,0.333333333333,0,compact_standard_k3_q25,MOT20-02,81,100
0,0,0,0.0,0.0,0.0,0.0,0,compact_robust_k3_q25,MOT20-02,81,100
3,1,2,0.333333333333,-0.06396,-0.06102,1.0,0,compact_robust_k7_vote,MOT20-02,81,100
3,0,3,0.0,-0.080557,-0.055457,1.0,0,mechanism_robust_k5_pmean,MOT20-02,81,100
3,1,2,0.333333333333,-0.099134,-0.08515,1.0,0,mechanism_robust_k5_vote,MOT20-02,81,100
3,0,3,0.0,-0.050156,-0.01965,1.0,0,mechanism_robust_k7_pmean,MOT20-02,81,100
1,0,1,0.0,-0.06102,-0.06102,0.333333333333,0,mechanism_standard_k5_mean,MOT20-02,81,100
3,0,3,0.0,-0.032326,-0.01965,1.0,0,mechanism_standard_k7_pmean,MOT20-02,81,100
1,0,1,0.0,-4e-06,-4e-06,0.333333333333,0,compact_standard_k1_nearest_positive,MOT20-03,21,40
2,0,2,0.0,-0.02392,-0.02382,0.666666666667,0,compact_standard_k3_vote67,MOT20-03,21,40
0,0,0,0.0,0.0,0.0,0.0,0,compact_standard_k3_q25,MOT20-03,21,40
1,0,1,0.0,-0.00154,-0.00154,0.333333333333,0,compact_robust_k3_q25,MOT20-03,21,40
3,1,2,0.333333333333,0.005093,-0.00154,1.0,0,compact_robust_k7_vote,MOT20-03,21,40
3,1,2,0.333333333333,0.005093,-0.00154,1.0,0,mechanism_robust_k5_pmean,MOT20-03,21,40
3,0,3,0.0,-0.003007,-0.00154,1.0,0,mechanism_robust_k5_vote,MOT20-03,21,40
3,1,2,0.333333333333,-0.000533,-0.00154,1.0,0,mechanism_robust_k7_pmean,MOT20-03,21,40
1,1,0,1.0,0.005897,0.005897,0.333333333333,0,mechanism_standard_k5_mean,MOT20-03,21,40
3,0,3,0.0,-0.006091,-0.004624,1.0,0,mechanism_standard_k7_pmean,MOT20-03,21,40
2,0,2,0.0,-0.006834,-0.004624,0.666666666667,0,compact_standard_k1_nearest_positive,MOT20-03,41,60
1,1,0,1.0,0.00034,0.00034,0.333333333333,0,compact_standard_k3_vote67,MOT20-03,41,60
0,0,0,0.0,0.0,0.0,0.0,0,compact_standard_k3_q25,MOT20-03,41,60
0,0,0,0.0,0.0,0.0,0.0,0,compact_robust_k3_q25,MOT20-03,41,60
3,0,3,0.0,-0.00528,-0.00224,1.0,0,compact_robust_k7_vote,MOT20-03,41,60
3,1,2,0.333333333333,-0.004669,-0.004624,1.0,0,mechanism_robust_k5_pmean,MOT20-03,41,60
3,1,2,0.333333333333,-0.004669,-0.004624,1.0,0,mechanism_robust_k5_vote,MOT20-03,41,60
3,0,3,0.0,-0.001966,-0.00154,1.0,0,mechanism_robust_k7_pmean,MOT20-03,41,60
0,0,0,0.0,0.0,0.0,0.0,0,mechanism_standard_k5_mean,MOT20-03,41,60
3,2,1,0.666666666667,0.006799,-1.6e-05,1.0,0,mechanism_standard_k7_pmean,MOT20-03,41,60
3,0,3,0.0,-0.098191,-0.06348,1.0,0,compact_standard_k1_nearest_positive,MOT20-03,61,80
2,0,2,0.0,-0.04031,-0.04021,0.666666666667,0,compact_standard_k3_vote67,MOT20-03,61,80
0,0,0,0.0,0.0,0.0,0.0,0,compact_standard_k3_q25,MOT20-03,61,80
0,0,0,0.0,0.0,0.0,0.0,0,compact_robust_k3_q25,MOT20-03,61,80
3,2,1,0.666666666667,0.007538,-0.0001,1.0,0,compact_robust_k7_vote,MOT20-03,61,80
3,2,1,0.666666666667,0.013732,-0.000326,1.0,0,mechanism_robust_k5_pmean,MOT20-03,61,80
3,1,2,0.333333333333,-0.001782,-0.00678,1.0,0,mechanism_robust_k5_vote,MOT20-03,61,80
3,1,2,0.333333333333,0.005757,-0.0015,1.0,0,mechanism_robust_k7_pmean,MOT20-03,61,80
0,0,0,0.0,0.0,0.0,0.0,0,mechanism_standard_k5_mean,MOT20-03,61,80
3,1,2,0.333333333333,0.004481,-0.000517,1.0,0,mechanism_standard_k7_pmean,MOT20-03,61,80
3,0,3,0.0,-0.05668,-0.02766,1.0,0,compact_standard_k1_nearest_positive,MOT20-03,81,100
1,0,1,0.0,-0.000517,-0.000517,0.333333333333,0,compact_standard_k3_vote67,MOT20-03,81,100
0,0,0,0.0,0.0,0.0,0.0,0,compact_standard_k3_q25,MOT20-03,81,100
0,0,0,0.0,0.0,0.0,0.0,0,compact_robust_k3_q25,MOT20-03,81,100
3,1,2,0.333333333333,-0.002002,-0.00154,1.0,0,compact_robust_k7_vote,MOT20-03,81,100
3,0,3,0.0,-0.008646,-0.00678,1.0,0,mechanism_robust_k5_pmean,MOT20-03,81,100
3,0,3,0.0,-0.01173,-0.00678,1.0,0,mechanism_robust_k5_vote,MOT20-03,81,100
3,1,2,0.333333333333,0.005717,-0.00154,1.0,0,mechanism_robust_k7_pmean,MOT20-03,81,100
1,0,1,0.0,-0.00678,-0.00678,0.333333333333,0,mechanism_standard_k5_mean,MOT20-03,81,100
3,2,1,0.666666666667,-0.006385,-0.00678,1.0,0,mechanism_standard_k7_pmean,MOT20-03,81,100
2,0,2,0.0,-0.008339,-0.005329,0.666666666667,0,compact_standard_k1_nearest_positive,MOT20-05,21,40
2,1,1,0.5,0.009161,-0.00301,0.666666666667,0,compact_standard_k3_vote67,MOT20-05,21,40
1,1,0,1.0,0.012171,0.012171,0.333333333333,0,compact_standard_k3_q25,MOT20-05,21,40
1,0,1,0.0,-0.00301,-0.00301,0.333333333333,0,compact_robust_k3_q25,MOT20-05,21,40
3,1,2,0.333333333333,0.005667,-0.00301,1.0,0,compact_robust_k7_vote,MOT20-05,21,40
3,1,2,0.333333333333,-0.014056,-0.009847,1.0,0,mechanism_robust_k5_pmean,MOT20-05,21,40
3,2,1,0.666666666667,0.003444,-0.009847,1.0,0,mechanism_robust_k5_vote,MOT20-05,21,40
3,2,1,0.666666666667,0.009797,-8.4e-05,1.0,0,mechanism_robust_k7_pmean,MOT20-05,21,40
2,0,2,0.0,-0.008339,-0.005329,0.666666666667,0,mechanism_standard_k5_mean,MOT20-05,21,40
3,1,2,0.333333333333,-0.008033,-0.005329,1.0,0,mechanism_standard_k7_pmean,MOT20-05,21,40
2,1,1,0.5,-0.002278,-0.002394,0.666666666667,0,compact_standard_k1_nearest_positive,MOT20-05,41,60
