name,seq,status,HOTA,DetA,AssA,IDSW,Frag,CLR_FN
G0_ref,MOT20-01,completed,77.148,80.426,74.15,46.0,94.0,1274.0
G0_ref,MOT20-02,completed,68.821,78.952,60.095,417.0,765.0,11561.0
G1_gmc,MOT20-01,completed,76.542,80.357,73.062,53.0,92.0,1280.0
G1_gmc,MOT20-02,completed,68.056,78.754,58.922,413.0,760.0,11512.0
G2_gmc_m04,MOT20-01,completed,76.206,80.414,72.376,52.0,93.0,1285.0
G2_gmc_m04,MOT20-02,completed,68.373,79.158,59.161,410.0,759.0,11601.0
G3_gmc_m06,MOT20-01,completed,76.542,80.357,73.062,53.0,92.0,1280.0
G3_gmc_m06,MOT20-02,completed,68.015,78.76,58.848,415.0,763.0,11503.0
