step,status,depends_on,decision,script,run_root,checkpoint,current_stage,delta_HOTA,delta_AssA,delta_IDF1,delta_MOTA,delta_IDSW,plugin_replaced_clusters,plugin_gate_pass_clusters,plugin_all_defer_clusters,error,notes
01_main_sparseedit_posboost_lc4,ok,,mainline_complete,scripts/run_official_bytetrack_local_conflict_stage1_trainhalf.py,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_stage1_largecomp4_sparseedit_posboost_lc4_20260327_015600,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_stage1_largecomp4_sparseedit_posboost_lc4_20260327_015600/01_stage1/best.pt,done,0.000,0.000,0.000,0.000,0,0,0,0,,monitor current sparse-edit largecomp4 posboost run
02_possampler8_retry,ok,01_main_sparseedit_posboost_lc4,followup_complete,scripts/run_official_bytetrack_local_conflict_stage1_trainhalf.py,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_possampler_followup_queue_20260327_103300/02_possampler8_retry,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_possampler_followup_queue_20260327_103300/02_possampler8_retry/01_stage1/best.pt,done,0.000,0.000,0.000,0.000,0,0,0,0,,launch only if the current run ends as no-op or non-positive
