sequence,frame,pre_candidates,postnms_kept,suppressed,orphan_suppressed,reference_kept,reference_count_equal,reference_order_equal,reference_min_matched_iou,reference_max_box_abs_diff,reference_max_score_abs_diff,reference_class_mismatch,reference_set_ok
MOT20-01,1,336,40,296,0,40,True,True,0.999998540537561,0.0001220703125,0.0,0,True
MOT20-01,2,338,39,299,0,39,True,True,0.9999986149392651,6.103515625e-05,0.0,0,True
MOT20-01,3,332,37,295,0,37,True,True,0.999998260896786,0.0001220703125,0.0,0,True
MOT20-01,4,331,37,294,0,37,True,True,0.9999979261028985,0.0001220703125,0.0,0,True
MOT20-01,5,333,37,296,0,37,True,True,0.9999976218617493,0.0001220703125,0.0,0,True
MOT20-01,6,323,38,285,0,38,True,True,0.999997761897195,0.0001220703125,0.0,0,True
MOT20-01,7,334,41,293,0,41,True,True,0.9999981242260304,0.0001220703125,0.0,0,True
MOT20-01,8,315,35,280,0,35,True,True,0.9999982905310807,0.0001220703125,0.0,0,True
MOT20-01,9,319,37,282,0,37,True,True,0.9999984788838658,0.0001220703125,0.0,0,True
MOT20-01,10,321,39,282,0,39,True,True,0.999997920111482,0.0001220703125,0.0,0,True
MOT20-01,11,321,36,285,0,36,True,True,0.9999980776956954,0.0001220703125,0.0,0,True
MOT20-01,12,329,38,291,0,38,True,True,0.9999979443768944,0.0001220703125,0.0,0,True
MOT20-01,13,320,37,283,0,37,True,True,0.9999978929003384,0.0001220703125,0.0,0,True
MOT20-01,14,330,40,290,0,40,True,True,0.9999978839248116,0.0001220703125,0.0,0,True
MOT20-01,15,317,36,281,0,36,True,True,0.999997691728474,0.0001220703125,0.0,0,True
MOT20-01,16,323,36,287,0,36,True,True,0.9999983250984005,0.0001220703125,0.0,0,True
MOT20-01,17,321,37,284,0,37,True,True,0.9999984500574602,0.0001220703125,0.0,0,True
MOT20-01,18,325,37,288,0,37,True,True,0.9999979285129831,0.0001220703125,0.0,0,True
MOT20-01,19,324,38,286,0,38,True,True,0.9999966367901525,0.0001220703125,0.0,0,True
MOT20-01,20,333,39,294,0,39,True,True,0.9999982642550226,0.0001220703125,0.0,0,True
MOT20-01,21,337,40,297,0,40,True,True,0.999998219937413,0.0001220703125,0.0,0,True
MOT20-01,22,336,39,297,0,39,True,True,0.9999963971818757,0.0001220703125,0.0,0,True
MOT20-01,23,339,39,300,0,39,True,True,0.999998148885055,0.0001220703125,0.0,0,True
MOT20-01,24,334,37,297,0,37,True,True,0.9999976546137266,0.0001220703125,0.0,0,True
MOT20-01,25,326,38,288,0,38,True,True,0.9999974876310258,0.0001220703125,0.0,0,True
MOT20-01,26,331,37,294,0,37,True,True,0.9999974467497641,0.0001220703125,0.0,0,True
MOT20-01,27,334,37,297,0,37,True,True,0.9999973614250234,0.0001220703125,0.0,0,True
MOT20-01,28,332,37,295,0,37,True,True,0.9999975192690774,0.0001220703125,0.0,0,True
MOT20-01,29,326,36,290,0,36,True,True,0.9999974105865256,0.0001220703125,0.0,0,True
MOT20-01,30,331,37,294,0,37,True,True,0.999997891514188,0.0001220703125,0.0,0,True
MOT20-01,31,318,36,282,0,36,True,True,0.9999981010074156,0.0001220703125,0.0,0,True
MOT20-01,32,338,37,301,0,37,True,True,0.9999984117378923,0.0001220703125,0.0,0,True
MOT20-01,33,334,37,297,0,37,True,True,0.9999957847970274,0.0001220703125,0.0,0,True
MOT20-01,34,329,37,292,0,37,True,True,0.9999983319989325,0.0001220703125,0.0,0,True
MOT20-01,35,346,39,307,0,39,True,True,0.9999978622383647,0.0001220703125,0.0,0,True
MOT20-01,36,334,38,296,0,38,True,True,0.999998469478337,0.0001220703125,0.0,0,True
MOT20-01,37,331,37,294,0,37,True,True,0.9999975772024441,0.0001220703125,0.0,0,True
MOT20-01,38,343,38,305,0,38,True,True,0.9999980232720185,0.0001220703125,0.0,0,True
MOT20-01,39,333,37,296,0,37,True,True,0.9999978774931496,0.0001220703125,0.0,0,True
MOT20-01,40,340,38,302,0,38,True,True,0.9999969643708203,0.0001220703125,0.0,0,True
MOT20-01,41,338,39,299,0,39,True,True,0.9999979367686535,0.0001220703125,0.0,0,True
MOT20-01,42,336,38,298,0,38,True,True,0.9999966533077869,0.0001220703125,0.0,0,True
MOT20-01,43,342,38,304,0,38,True,True,0.9999977699105177,0.0001220703125,0.0,0,True
MOT20-01,44,337,37,300,0,37,True,True,0.9999977113038702,0.0001220703125,0.0,0,True
MOT20-01,45,323,36,287,0,36,True,True,0.9999980573263565,0.0001220703125,0.0,0,True
MOT20-01,46,329,36,293,0,36,True,True,0.9999976717275548,0.0001220703125,0.0,0,True
MOT20-01,47,336,38,298,0,38,True,True,0.999999452574324,6.103515625e-05,0.0,0,True
MOT20-01,48,335,38,297,0,38,True,True,0.9999981712714052,0.0001220703125,0.0,0,True
MOT20-01,49,339,37,302,0,37,True,True,0.9999976572127391,0.0001220703125,0.0,0,True
MOT20-01,50,336,37,299,0,37,True,True,0.999998385338877,0.0001220703125,0.0,0,True
MOT20-01,51,338,37,301,0,37,True,True,0.9999975559026174,0.0001220703125,0.0,0,True
MOT20-01,52,335,37,298,0,37,True,True,0.9999979693039992,0.0001220703125,0.0,0,True
MOT20-01,53,338,38,300,0,38,True,True,0.9999976851101656,0.0001220703125,0.0,0,True
MOT20-01,54,336,37,299,0,37,True,True,0.9999978757798543,0.0001220703125,0.0,0,True
MOT20-01,55,337,37,300,0,37,True,True,0.9999984062830696,0.0001220703125,0.0,0,True
MOT20-01,56,340,38,302,0,38,True,True,0.9999975910173856,0.0001220703125,0.0,0,True
MOT20-01,57,340,39,301,0,39,True,True,0.9999984337704158,0.0001220703125,0.0,0,True
MOT20-01,58,341,38,303,0,38,True,True,0.999997772074288,0.0001220703125,0.0,0,True
MOT20-01,59,348,39,309,0,39,True,True,0.9999980926814943,0.0001220703125,0.0,0,True
MOT20-01,60,353,39,314,0,39,True,True,0.9999978744704775,0.0001220703125,0.0,0,True
MOT20-01,61,359,40,319,0,40,True,True,0.9999976129207824,0.0001220703125,0.0,0,True
MOT20-01,62,355,39,316,0,39,True,True,0.9999975926933429,0.0001220703125,0.0,0,True
MOT20-01,63,354,39,315,0,39,True,True,0.999998487271143,0.0001220703125,0.0,0,True
MOT20-01,64,352,39,313,0,39,True,True,0.999997570905275,0.0001220703125,0.0,0,True
MOT20-01,65,345,40,305,0,40,True,True,0.9999978069886885,0.0001220703125,0.0,0,True
MOT20-01,66,338,38,300,0,38,True,True,0.9999977264645116,0.0001220703125,0.0,0,True
MOT20-01,67,335,37,298,0,37,True,True,0.9999977759441673,0.0001220703125,0.0,0,True
MOT20-01,68,334,37,297,0,37,True,True,0.9999976963461746,0.0001220703125,0.0,0,True
MOT20-01,69,333,37,296,0,37,True,True,0.9999981644943458,0.0001220703125,0.0,0,True
MOT20-01,70,339,37,302,0,37,True,True,0.9999980210951259,0.0001220703125,0.0,0,True
MOT20-01,71,342,39,303,0,39,True,True,0.9999977635039631,0.0001220703125,0.0,0,True
MOT20-01,72,331,37,294,0,37,True,True,0.9999980048760828,0.0001220703125,0.0,0,True
MOT20-01,73,332,39,293,0,39,True,True,0.9999964020622485,0.0001220703125,0.0,0,True
MOT20-01,74,339,37,302,0,37,True,True,0.9999984708825455,0.0001220703125,0.0,0,True
MOT20-01,75,347,38,309,0,38,True,True,0.9999960160908522,0.0001220703125,0.0,0,True
MOT20-01,76,351,39,312,0,39,True,True,0.999997855071469,0.0001220703125,0.0,0,True
MOT20-01,77,348,41,307,0,41,True,True,0.999995275765385,0.0001220703125,0.0,0,True
MOT20-01,78,350,40,310,0,40,True,True,0.9999981516975733,0.0001220703125,0.0,0,True
MOT20-01,79,351,40,311,0,40,True,True,0.9999974129639368,0.0001220703125,0.0,0,True
MOT20-01,80,364,42,322,0,42,True,True,0.9999974709986773,0.0001220703125,0.0,0,True
MOT20-01,81,360,41,319,0,41,True,True,0.9999975252425263,0.0001220703125,0.0,0,True
MOT20-01,82,363,40,323,0,40,True,True,0.9999978971097877,0.0001220703125,0.0,0,True
MOT20-01,83,357,40,317,0,40,True,True,0.9999975301750859,0.0001220703125,0.0,0,True
MOT20-01,84,361,42,319,0,42,True,True,0.9999974392198839,0.0001220703125,0.0,0,True
MOT20-01,85,383,43,340,0,43,True,True,0.9999977426534657,0.0001220703125,0.0,0,True
MOT20-01,86,362,42,320,0,42,True,True,0.9999974635240545,0.0001220703125,0.0,0,True
MOT20-01,87,365,42,323,0,42,True,True,0.9999971472793183,0.0001220703125,0.0,0,True
MOT20-01,88,374,43,331,0,43,True,True,0.999997286899523,0.0001220703125,0.0,0,True
MOT20-01,89,370,43,327,0,43,True,True,0.9999989594259361,6.103515625e-05,0.0,0,True
MOT20-01,90,357,40,317,0,40,True,True,0.9999979839583943,0.0001220703125,0.0,0,True
MOT20-01,91,356,44,312,0,44,True,True,0.9999974033730185,0.0001220703125,0.0,0,True
MOT20-01,92,380,46,334,0,46,True,True,0.9999962204248243,0.0001220703125,0.0,0,True
MOT20-01,93,386,47,339,0,47,True,True,0.9999962465280384,0.0001220703125,0.0,0,True
MOT20-01,94,382,46,336,0,46,True,True,0.9999978806599625,0.0001220703125,0.0,0,True
MOT20-01,95,374,46,328,0,46,True,True,0.99999698715776,0.0001220703125,0.0,0,True
MOT20-01,96,375,45,330,0,45,True,True,0.9999984445408829,0.0001220703125,0.0,0,True
MOT20-01,97,376,47,329,0,47,True,True,0.9999974932065898,0.0001220703125,0.0,0,True
MOT20-01,98,384,46,338,0,46,True,True,0.9999975356954514,0.0001220703125,0.0,0,True
MOT20-01,99,370,45,325,0,45,True,True,0.9999976246726586,0.0001220703125,0.0,0,True
MOT20-01,100,370,45,325,0,45,True,True,0.9999983381885923,0.0001220703125,0.0,0,True
MOT20-01,101,357,44,313,0,44,True,True,0.999997937693599,6.103515625e-05,0.0,0,True
MOT20-01,102,356,43,313,0,43,True,True,0.9999970108261853,0.0001220703125,0.0,0,True
MOT20-01,103,358,43,315,0,43,True,True,0.9999975721555374,0.0001220703125,0.0,0,True
MOT20-01,104,366,43,323,0,43,True,True,0.9999961532173528,0.0001220703125,0.0,0,True
MOT20-01,105,358,43,315,0,43,True,True,0.9999983366046775,0.0001220703125,0.0,0,True
MOT20-01,106,358,41,317,0,41,True,True,0.9999976575255506,0.0001220703125,0.0,0,True
MOT20-01,107,356,41,315,0,41,True,True,0.9999972566437231,0.0001220703125,0.0,0,True
MOT20-01,108,363,44,319,0,44,True,True,0.9999982000208798,0.0001220703125,0.0,0,True
MOT20-01,109,345,39,306,0,39,True,True,0.9999975794368318,0.0001220703125,0.0,0,True
MOT20-01,110,351,39,312,0,39,True,True,0.9999979753396367,0.0001220703125,0.0,0,True
MOT20-01,111,362,40,322,0,40,True,True,0.9999970635880018,0.0001220703125,0.0,0,True
MOT20-01,112,360,40,320,0,40,True,True,0.9999975095818837,0.0001220703125,0.0,0,True
MOT20-01,113,366,41,325,0,41,True,True,0.9999953044809339,0.0001220703125,0.0,0,True
MOT20-01,114,371,41,330,0,41,True,True,0.9999970095297017,0.0001220703125,0.0,0,True
MOT20-01,115,367,42,325,0,42,True,True,0.9999968418683232,0.0001220703125,0.0,0,True
MOT20-01,116,373,43,330,0,43,True,True,0.999997280646771,0.0001220703125,0.0,0,True
MOT20-01,117,375,42,333,0,42,True,True,0.9999978689261733,0.0001220703125,0.0,0,True
MOT20-01,118,373,44,329,0,44,True,True,0.9999978180421729,0.0001220703125,0.0,0,True
MOT20-01,119,365,43,322,0,43,True,True,0.9999961234149612,0.0001220703125,0.0,0,True
MOT20-01,120,365,43,322,0,43,True,True,0.9999978484058045,0.0001220703125,0.0,0,True
MOT20-01,121,379,47,332,0,47,True,True,0.9999977696842096,0.0001220703125,0.0,0,True
MOT20-01,122,383,47,336,0,47,True,True,0.9999980239106807,0.0001220703125,0.0,0,True
MOT20-01,123,389,48,341,0,48,True,True,0.9999976982020656,0.0001220703125,0.0,0,True
MOT20-01,124,378,47,331,0,47,True,True,0.999998084489344,0.0001220703125,0.0,0,True
MOT20-01,125,386,46,340,0,46,True,True,0.9999971462286699,0.0001220703125,0.0,0,True
MOT20-01,126,389,46,343,0,46,True,True,0.9999977296726987,0.0001220703125,0.0,0,True
MOT20-01,127,397,46,351,0,46,True,True,0.9999979465908274,0.0001220703125,0.0,0,True
MOT20-01,128,403,47,356,0,47,True,True,0.9999959853051026,0.0001220703125,0.0,0,True
MOT20-01,129,376,45,331,0,45,True,True,0.9999985448619074,0.0001220703125,0.0,0,True
MOT20-01,130,378,45,333,0,45,True,True,0.9999982963934649,0.0001220703125,0.0,0,True
MOT20-01,131,375,45,330,0,45,True,True,0.9999973484471844,0.0001220703125,0.0,0,True
MOT20-01,132,367,43,324,0,43,True,True,0.999996912979993,0.0001220703125,0.0,0,True
MOT20-01,133,370,43,327,0,43,True,True,0.999997766141859,0.0001220703125,0.0,0,True
MOT20-01,134,381,46,335,0,46,True,True,0.999997969708044,0.0001220703125,0.0,0,True
MOT20-01,135,371,44,327,0,44,True,True,0.9999975851710182,0.0001220703125,0.0,0,True
MOT20-01,136,376,44,332,0,44,True,True,0.9999980679352604,0.0001220703125,0.0,0,True
MOT20-01,137,393,47,346,0,47,True,True,0.9999980552805938,0.0001220703125,0.0,0,True
MOT20-01,138,393,47,346,0,47,True,True,0.9999973264891455,0.0001220703125,0.0,0,True
MOT20-01,139,398,47,351,0,47,True,True,0.9999957153796568,0.0001220703125,0.0,0,True
MOT20-01,140,394,46,348,0,46,True,True,0.9999976204951512,0.0001220703125,0.0,0,True
MOT20-01,141,407,50,357,0,50,True,True,0.9999974724177588,0.0001220703125,0.0,0,True
MOT20-01,142,401,48,353,0,48,True,True,0.9999974277652167,0.0001220703125,0.0,0,True
MOT20-01,143,403,46,357,0,46,True,True,0.9999978179853846,0.0001220703125,0.0,0,True
MOT20-01,144,397,48,349,0,48,True,True,0.9999974990371293,0.0001220703125,0.0,0,True
MOT20-01,145,384,48,336,0,48,True,True,0.9999978146136783,0.0001220703125,0.0,0,True
MOT20-01,146,396,47,349,0,47,True,True,0.9999976408083534,0.0001220703125,0.0,0,True
MOT20-01,147,393,47,346,0,47,True,True,0.9999976039467788,0.0001220703125,0.0,0,True
MOT20-01,148,401,48,353,0,48,True,True,0.9999980734256034,0.0001220703125,0.0,0,True
MOT20-01,149,393,47,346,0,47,True,True,0.9999977563282761,0.0001220703125,0.0,0,True
MOT20-01,150,399,48,351,0,48,True,True,0.9999980684129501,0.0001220703125,0.0,0,True
MOT20-01,151,399,48,351,0,48,True,True,0.9999973372316262,0.0001220703125,0.0,0,True
MOT20-01,152,403,49,354,0,49,True,True,0.9999978196929692,0.0001220703125,0.0,0,True
MOT20-01,153,404,49,355,0,49,True,True,0.9999978832933816,0.0001220703125,0.0,0,True
MOT20-01,154,398,50,348,0,50,True,True,0.9999964852221164,0.0001220703125,0.0,0,True
MOT20-01,155,399,49,350,0,49,True,True,0.9999975896412422,0.0001220703125,0.0,0,True
MOT20-01,156,409,47,362,0,47,True,True,0.9999978287538133,0.0001220703125,0.0,0,True
MOT20-01,157,420,48,372,0,48,True,True,0.9999972855812792,0.0001220703125,0.0,0,True
MOT20-01,158,422,49,373,0,49,True,True,0.9999967788128374,0.0001220703125,0.0,0,True
MOT20-01,159,423,50,373,0,50,True,True,0.9999973130630813,0.0001220703125,0.0,0,True
MOT20-01,160,423,51,372,0,51,True,True,0.9999972453156593,0.0001220703125,0.0,0,True
MOT20-01,161,427,52,375,0,52,True,True,0.9999968960615728,0.0001220703125,0.0,0,True
MOT20-01,162,423,52,371,0,52,True,True,0.9999982543825159,0.0001220703125,0.0,0,True
MOT20-01,163,422,52,370,0,52,True,True,0.9999969346591954,0.0001220703125,0.0,0,True
MOT20-01,164,434,52,382,0,52,True,True,0.999998199307814,0.0001220703125,0.0,0,True
MOT20-01,165,431,50,381,0,50,True,True,0.9999971909560019,0.0001220703125,0.0,0,True
MOT20-01,166,438,51,387,0,51,True,True,0.9999966727097699,0.0001220703125,0.0,0,True
MOT20-01,167,442,53,389,0,53,True,True,0.9999982073552215,0.0001220703125,0.0,0,True
MOT20-01,168,448,51,397,0,51,True,True,0.9999974119881884,0.0001220703125,0.0,0,True
MOT20-01,169,448,52,396,0,52,True,True,0.9999969717616777,0.0001220703125,0.0,0,True
MOT20-01,170,452,53,399,0,53,True,True,0.9999971409865311,0.0001220703125,0.0,0,True
MOT20-01,171,450,56,394,0,56,True,True,0.9999969407640136,0.0001220703125,0.0,0,True
MOT20-01,172,447,55,392,0,55,True,True,0.9999974547680467,0.0001220703125,0.0,0,True
MOT20-01,173,448,56,392,0,56,True,True,0.9999982305770442,0.0001220703125,0.0,0,True
MOT20-01,174,453,55,398,0,55,True,True,0.9999988916437699,6.103515625e-05,0.0,0,True
MOT20-01,175,461,56,405,0,56,True,True,0.9999970072603863,0.0001220703125,0.0,0,True
MOT20-01,176,454,54,400,0,54,True,True,0.9999966663508824,0.0001220703125,0.0,0,True
MOT20-01,177,451,52,399,0,52,True,True,0.9999972323778579,0.0001220703125,0.0,0,True
MOT20-01,178,443,54,389,0,54,True,True,0.9999969808404132,0.0001220703125,0.0,0,True
MOT20-01,179,440,54,386,0,54,True,True,0.9999976294722969,0.0001220703125,0.0,0,True
MOT20-01,180,441,53,388,0,53,True,True,0.9999971948328822,0.0001220703125,0.0,0,True
MOT20-01,181,429,52,377,0,52,True,True,0.9999986416494722,6.103515625e-05,0.0,0,True
MOT20-01,182,441,55,386,0,55,True,True,0.9999981725279786,0.0001220703125,0.0,0,True
MOT20-01,183,446,53,393,0,53,True,True,0.999997941747333,0.0001220703125,0.0,0,True
MOT20-01,184,454,55,399,0,55,True,True,0.9999971947935368,0.0001220703125,0.0,0,True
MOT20-01,185,450,54,396,0,54,True,True,0.999997886775547,0.0001220703125,0.0,0,True
MOT20-01,186,450,51,399,0,51,True,True,0.9999976958603951,0.0001220703125,0.0,0,True
MOT20-01,187,453,53,400,0,53,True,True,0.9999978474672223,0.0001220703125,0.0,0,True
MOT20-01,188,451,53,398,0,53,True,True,0.9999980831307842,0.0001220703125,0.0,0,True
MOT20-01,189,451,55,396,0,55,True,True,0.9999974998562418,0.0001220703125,0.0,0,True
MOT20-01,190,447,52,395,0,52,True,True,0.9999982409940334,0.0001220703125,0.0,0,True
MOT20-01,191,434,49,385,0,49,True,True,0.9999967644862472,0.0001220703125,0.0,0,True
MOT20-01,192,456,53,403,0,53,True,True,0.9999976522790501,0.0001220703125,0.0,0,True
MOT20-01,193,458,52,406,0,52,True,True,0.9999973413603337,0.0001220703125,0.0,0,True
MOT20-01,194,464,55,409,0,55,True,True,0.9999973994970627,0.0001220703125,0.0,0,True
MOT20-01,195,460,53,407,0,53,True,True,0.9999974168717025,0.0001220703125,0.0,0,True
MOT20-01,196,459,52,407,0,52,True,True,0.9999976289664427,0.0001220703125,0.0,0,True
MOT20-01,197,451,52,399,0,52,True,True,0.9999974192149768,0.0001220703125,0.0,0,True
MOT20-01,198,459,54,405,0,54,True,True,0.9999966994435159,0.0001220703125,0.0,0,True
MOT20-01,199,464,55,409,0,55,True,True,0.9999986568491293,0.0001220703125,0.0,0,True
MOT20-01,200,465,54,411,0,54,True,True,0.9999975282215307,0.0001220703125,0.0,0,True
MOT20-01,201,467,53,414,0,53,True,True,0.9999977777975307,0.0001220703125,0.0,0,True
MOT20-01,202,469,54,415,0,54,True,True,0.9999968322694484,0.0001220703125,0.0,0,True
MOT20-01,203,481,56,425,0,56,True,True,0.9999972062903167,0.0001220703125,0.0,0,True
MOT20-01,204,455,51,404,0,51,True,True,0.9999983693002824,0.0001220703125,0.0,0,True
MOT20-01,205,453,51,402,0,51,True,True,0.9999984664622972,0.0001220703125,0.0,0,True
MOT20-01,206,458,52,406,0,52,True,True,0.9999974811019675,0.0001220703125,0.0,0,True
