sequence,frame,pre_candidates,postnms_kept,suppressed,orphan_suppressed,reference_kept,reference_count_equal,reference_order_equal,reference_min_matched_iou,reference_max_box_abs_diff,reference_max_score_abs_diff,reference_class_mismatch,reference_set_ok
MOT20-02,1,328,39,289,0,39,True,True,0.9999964523218666,0.0001220703125,0.0,0,True
MOT20-02,2,318,38,280,0,38,True,True,0.9999979741624682,0.0001220703125,0.0,0,True
MOT20-02,3,322,37,285,0,37,True,True,0.9999980901633865,0.0001220703125,0.0,0,True
MOT20-02,4,325,38,287,0,38,True,True,0.999998070898344,0.0001220703125,0.0,0,True
MOT20-02,5,325,37,288,0,37,True,True,0.9999980585125487,0.0001220703125,0.0,0,True
MOT20-02,6,316,39,277,0,39,True,True,0.9999990262019832,6.103515625e-05,0.0,0,True
MOT20-02,7,327,39,288,0,39,True,True,0.9999979672159739,0.0001220703125,0.0,0,True
MOT20-02,8,313,38,275,0,38,True,True,0.9999980383040746,0.0001220703125,0.0,0,True
MOT20-02,9,304,36,268,0,36,True,True,0.9999980988990724,0.0001220703125,0.0,0,True
MOT20-02,10,313,37,276,0,37,True,True,0.9999980182008434,0.0001220703125,0.0,0,True
MOT20-02,11,308,37,271,0,37,True,True,0.9999989955815632,6.103515625e-05,0.0,0,True
MOT20-02,12,296,34,262,0,34,True,True,0.9999980814942857,0.0001220703125,0.0,0,True
MOT20-02,13,303,34,269,0,34,True,True,0.9999982632496682,0.0001220703125,0.0,0,True
MOT20-02,14,316,35,281,0,35,True,True,0.9999970237120858,0.0001220703125,0.0,0,True
MOT20-02,15,317,36,281,0,36,True,True,0.9999978609335929,0.0001220703125,0.0,0,True
MOT20-02,16,322,36,286,0,36,True,True,0.9999982324848082,0.0001220703125,0.0,0,True
MOT20-02,17,315,35,280,0,35,True,True,0.9999989602319931,6.103515625e-05,0.0,0,True
MOT20-02,18,324,36,288,0,36,True,True,0.9999963869046974,0.0001220703125,0.0,0,True
MOT20-02,19,330,38,292,0,38,True,True,0.9999982328970946,0.0001220703125,0.0,0,True
MOT20-02,20,335,38,297,0,38,True,True,0.9999979833464752,0.0001220703125,0.0,0,True
MOT20-02,21,345,40,305,0,40,True,True,0.999998643962991,6.103515625e-05,0.0,0,True
MOT20-02,22,339,41,298,0,41,True,True,0.9999980287875861,0.0001220703125,0.0,0,True
MOT20-02,23,345,43,302,0,43,True,True,0.9999964682908731,0.0001220703125,0.0,0,True
MOT20-02,24,348,42,306,0,42,True,True,0.999999106570903,6.103515625e-05,0.0,0,True
MOT20-02,25,356,42,314,0,42,True,True,0.999996819223453,0.0001220703125,0.0,0,True
MOT20-02,26,348,41,307,0,41,True,True,0.9999979286717401,0.0001220703125,0.0,0,True
MOT20-02,27,353,41,312,0,41,True,True,0.999998722436569,0.0001220703125,0.0,0,True
MOT20-02,28,357,41,316,0,41,True,True,0.9999979210670747,0.0001220703125,0.0,0,True
MOT20-02,29,350,41,309,0,41,True,True,0.9999980557267596,0.0001220703125,0.0,0,True
