step,name,status,run_root,summary_csv,log_path,started_at,finished_at,artifact_path,artifact_path_2,source_manifest,train_jsonl,val_jsonl,checkpoint,best_epoch,best_metric,best_threshold,train_rows,val_rows,sources,rows_total,rules_pass_rows,hard_negative_checkpoint,hard_negative_score_threshold,hard_negative_weight_multiplier,train_hard_negative_boosted,val_hard_negative_boosted,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,delta_hota,delta_assa,delta_idf1,delta_mota,delta_ids,delta_frag,notes,params_json
queue,graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146,completed,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146/logs/queue.log,,2026-04-29T11:47:02+08:00,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146,/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,"gate train-only queue completed, best_epoch=111, best_metric=0.6801; eval skipped","{""batch_size"": 64, ""commit_score_margin"": 0.0, ""dataset"": ""MOT20"", ""dropout"": 0.15, ""epochs"": 220, ""eval_device"": ""cpu"", ""hard_negative_checkpoint"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_20260424_230311/train_gate/best.pt"", ""hard_negative_score_threshold"": 0.5, ""hard_negative_weight_multiplier"": 3.0, ""harmful_target"": 0.0, ""harmful_weight"": 1.25, ""hidden_dim"": 16, ""init_checkpoint"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117/train_gate/best.pt"", ""model_type"": ""dual_head"", ""neutral_target"": 0.25, ""neutral_weight"": 0.5, ""num_hidden_layers"": 3, ""positive_target"": 1.0, ""positive_weight_scale"": 0.25, ""reuse_dataset_dir"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_mix_rankv2_decsurf_all5_source_20260429_1145"", ""rows_jsonl"": [], ""seq_ids"": [2, 5], ""skip_eval"": true, ""source_manifest"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv"", ""split"": ""train"", ""split_part"": ""val_half"", ""train_device"": ""cpu"", ""val_patterns"": """"}"
build_dataset,build_graph_assoc_gate_dataset,success,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146/gate_dataset/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146/logs/build_dataset.log,2026-04-29T11:44:42+08:00,2026-04-29T11:45:07+08:00,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146/gate_dataset/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146/gate_dataset/train.jsonl,/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146/gate_dataset/train.jsonl,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146/gate_dataset/val.jsonl,,,,,369,588,1,957,957,outputs/graphassoc_gate_next5h_20260424_230311/train_gate/best.pt,0.5,3.0,157,0,,,,,,,,,,,,"gate dataset ready, sources=1 train_rows=369 val_rows=588","{""batch_size"": 64, ""commit_score_margin"": 0.0, ""dataset"": ""MOT20"", ""dropout"": 0.15, ""epochs"": 220, ""eval_device"": ""cpu"", ""hard_negative_checkpoint"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_20260424_230311/train_gate/best.pt"", ""hard_negative_score_threshold"": 0.5, ""hard_negative_weight_multiplier"": 3.0, ""harmful_target"": 0.0, ""harmful_weight"": 1.25, ""hidden_dim"": 16, ""init_checkpoint"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117/train_gate/best.pt"", ""model_type"": ""dual_head"", ""neutral_target"": 0.25, ""neutral_weight"": 0.5, ""num_hidden_layers"": 3, ""positive_target"": 1.0, ""positive_weight_scale"": 0.25, ""reuse_dataset_dir"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_mix_rankv2_decsurf_all5_source_20260429_1145"", ""rows_jsonl"": [], ""seq_ids"": [2, 5], ""skip_eval"": true, ""source_manifest"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv"", ""split"": ""train"", ""split_part"": ""val_half"", ""train_device"": ""cpu"", ""val_patterns"": """"}"
train_gate,train_graph_assoc_gate_dual_head,success,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146/train_gate/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146/logs/train_gate.log,2026-04-29T11:45:12+08:00,2026-04-29T11:46:56+08:00,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146/train_gate/best.pt,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146/train_gate/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146/gate_dataset/train.jsonl,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146/gate_dataset/val.jsonl,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146/train_gate/best.pt,111,0.6801450083658673,0.18,369,588,,,,,,,,,0.7091836734693877,0.6801450083658673,0.3181818181818182,0.6363636363636364,0.4242424242424242,,,,,,,"gate training complete, best_epoch=111 best_metric=0.6801 best_threshold=0.180","{""batch_size"": 64, ""commit_score_margin"": 0.0, ""dataset"": ""MOT20"", ""dropout"": 0.15, ""epochs"": 220, ""eval_device"": ""cpu"", ""hard_negative_checkpoint"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_20260424_230311/train_gate/best.pt"", ""hard_negative_score_threshold"": 0.5, ""hard_negative_weight_multiplier"": 3.0, ""harmful_target"": 0.0, ""harmful_weight"": 1.25, ""hidden_dim"": 16, ""init_checkpoint"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117/train_gate/best.pt"", ""model_type"": ""dual_head"", ""neutral_target"": 0.25, ""neutral_weight"": 0.5, ""num_hidden_layers"": 3, ""positive_target"": 1.0, ""positive_weight_scale"": 0.25, ""reuse_dataset_dir"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_mix_rankv2_decsurf_all5_source_20260429_1145"", ""rows_jsonl"": [], ""seq_ids"": [2, 5], ""skip_eval"": true, ""source_manifest"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv"", ""split"": ""train"", ""split_part"": ""val_half"", ""train_device"": ""cpu"", ""val_patterns"": """"}"
eval_replace_rules,eval_graphassoc_gate_replace_rules,skipped,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146/mot20_eval/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146/logs/eval_replace_rules.log,,,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146/mot20_eval/metrics_compare.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146/mot20_eval/metrics_delta.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv,,,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146/train_gate/best.pt,,,,,,,,,,,,,,,,,,,,,,,,,MOT20 evaluation skipped by flag,"{""batch_size"": 64, ""commit_score_margin"": 0.0, ""dataset"": ""MOT20"", ""dropout"": 0.15, ""epochs"": 220, ""eval_device"": ""cpu"", ""hard_negative_checkpoint"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_20260424_230311/train_gate/best.pt"", ""hard_negative_score_threshold"": 0.5, ""hard_negative_weight_multiplier"": 3.0, ""harmful_target"": 0.0, ""harmful_weight"": 1.25, ""hidden_dim"": 16, ""init_checkpoint"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117/train_gate/best.pt"", ""model_type"": ""dual_head"", ""neutral_target"": 0.25, ""neutral_weight"": 0.5, ""num_hidden_layers"": 3, ""positive_target"": 1.0, ""positive_weight_scale"": 0.25, ""reuse_dataset_dir"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_mix_rankv2_decsurf_all5_source_20260429_1145"", ""rows_jsonl"": [], ""seq_ids"": [2, 5], ""skip_eval"": true, ""source_manifest"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv"", ""split"": ""train"", ""split_part"": ""val_half"", ""train_device"": ""cpu"", ""val_patterns"": """"}"
