selected_windows,covered_sequences,selected_sequences,positive_windows,negative_windows,zero_windows,positive_precision,positive_sum,negative_mass,utility_sum,worst_sequence_utility,sequence_utility,candidate_stability_min,candidate_stability_mean,eligible,outer_held_out_seq,model_config,score_config,gate_config,model_order,score_order,gate_order
10,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",0,5,5,0.0,0.0,0.412700567686,-0.412700567686,-0.339605703221,"{'MOT20-02': -0.073094864465, 'MOT20-03': 0.0, 'MOT20-05': -0.339605703221}",0.4,0.86,0,MOT20-01,extra_d7_l3,mean_target_q25,disp_le_025,0,2,3
11,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",1,5,5,0.166666666667,0.001216545012,0.412700567686,-0.411484022674,-0.339605703221,"{'MOT20-02': -0.073094864465, 'MOT20-03': 0.001216545012, 'MOT20-05': -0.339605703221}",0.4,0.872727272727,0,MOT20-01,extra_d7_l3,mean_target_q25,disp_le_030,0,2,4
11,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",1,5,5,0.166666666667,0.001216545012,0.412700567686,-0.411484022674,-0.339605703221,"{'MOT20-02': -0.073094864465, 'MOT20-03': 0.001216545012, 'MOT20-05': -0.339605703221}",0.4,0.872727272727,0,MOT20-01,extra_d7_l3,mean_target_q25,disp_le_040,0,2,5
11,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",1,5,5,0.166666666667,0.001216545012,0.542192010646,-0.540975465634,-0.339605703221,"{'MOT20-02': -0.056191551416000005, 'MOT20-03': -0.145178210997, 'MOT20-05': -0.339605703221}",0.8,0.927272727273,0,MOT20-01,extra_d7_l3,mean_target_q25,stable_080,0,2,6
6,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",0,3,3,0.0,0.0,0.064218307269,-0.064218307269,-0.056191551416,"{'MOT20-02': -0.056191551416000005, 'MOT20-03': 0.0, 'MOT20-05': -0.008026755853}",0.8,0.933333333333,0,MOT20-01,extra_d7_l3,mean_target_q25,disp_le_020_stable_080,0,2,7
9,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",0,4,5,0.0,0.0,0.395797254637,-0.395797254637,-0.339605703221,"{'MOT20-02': -0.056191551416000005, 'MOT20-03': 0.0, 'MOT20-05': -0.339605703221}",0.8,0.911111111111,0,MOT20-01,extra_d7_l3,mean_target_q25,disp_le_025_stable_080,0,2,8
10,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",1,4,5,0.2,0.001216545012,0.395797254637,-0.394580709625,-0.339605703221,"{'MOT20-02': -0.056191551416000005, 'MOT20-03': 0.001216545012, 'MOT20-05': -0.339605703221}",0.8,0.92,0,MOT20-01,extra_d7_l3,mean_target_q25,disp_le_030_stable_080,0,2,9
9,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",0,4,5,0.0,0.0,0.395797254637,-0.395797254637,-0.339605703221,"{'MOT20-02': -0.056191551416000005, 'MOT20-03': 0.0, 'MOT20-05': -0.339605703221}",0.8,0.911111111111,0,MOT20-01,extra_d7_l3,mean_target_q25,q25_pos_disp_le_025_stable_080,0,2,10
10,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",1,4,5,0.2,0.001216545012,0.395797254637,-0.394580709625,-0.339605703221,"{'MOT20-02': -0.056191551416000005, 'MOT20-03': 0.001216545012, 'MOT20-05': -0.339605703221}",0.8,0.92,0,MOT20-01,extra_d7_l3,mean_target_q25,q25_pos_disp_le_030_stable_080,0,2,11
12,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",2,6,4,0.25,0.004210556988,0.295180611921,-0.290970054933,-0.223634001782,"{'MOT20-02': -0.053197539440000004, 'MOT20-03': -0.22363400178200002, 'MOT20-05': -0.014138513711}",0.0,0.9,0,MOT20-01,extra_d10_l5,mean_positive_fraction,all,1,0,0
3,1,['MOT20-02'],1,1,1,0.5,0.002994011976,0.005080440305,-0.002086428329,-0.002086428329,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': 0.0, 'MOT20-05': 0.0}",1.0,1.0,0,MOT20-01,extra_d10_l5,mean_positive_fraction,disp_le_015,1,0,1
7,2,"['MOT20-02', 'MOT20-05']",1,3,3,0.25,0.002994011976,0.019218954016,-0.01622494204,-0.014138513711,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': 0.0, 'MOT20-05': -0.014138513711}",0.0,0.828571428571,0,MOT20-01,extra_d10_l5,mean_positive_fraction,disp_le_020,1,0,2
7,2,"['MOT20-02', 'MOT20-05']",1,3,3,0.25,0.002994011976,0.019218954016,-0.01622494204,-0.014138513711,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': 0.0, 'MOT20-05': -0.014138513711}",0.0,0.828571428571,0,MOT20-01,extra_d10_l5,mean_positive_fraction,disp_le_025,1,0,3
