name,HOTA,DetA,AssA,IDF1,MOTA,IDSW,Frag,dataset_split,run_dir
base_eval,77.772,80.709,75.011,89.414,93.417,768,1595,botsort_mot20_val_base,outputs/botsort_ltra_stage1/MOT20/base_eval
laplace_eval,77.875,80.705,75.211,89.652,93.405,756,1577,botsort_mot20_val_laplace,outputs/botsort_ltra_stage1/MOT20/laplace_eval
