sequence,cases,appearance_correct,geometry_correct,appearance_accuracy,geometry_accuracy,accuracy_gain
MOT20-01,21,18,4,0.8571428571428571,0.19047619047619047,0.6666666666666666
MOT20-02,290,177,50,0.6103448275862069,0.1724137931034483,0.4379310344827586
MOT20-03,101,56,28,0.5544554455445545,0.27722772277227725,0.27722772277227725
MOT20-05,445,279,87,0.6269662921348315,0.19550561797752808,0.4314606741573034
COMBINED,857,530,169,0.6184364060676779,0.1971995332555426,0.42123687281213534
