arm,run_dir,exp_name,protocol_tag,official_exp_file,official_checkpoint,official_experiment_name,host_variant,tracker_mode,graph_checkpoint,graph_topk,graph_min_detections,graph_min_committed_matches,graph_max_detections,graph_max_tracks,graph_cluster_gate_thresh,graph_cluster_gate_temp,graph_cluster_gate_bias,graph_max_commits_per_cluster,graph_replacement_budget_ratio,graph_max_replaced_clusters,graph_min_commit_margin,seed,track_thresh,track_buffer,match_thresh,min_box_area,results_dir,eval_dir,log_path,eligible_clusters,replaced_clusters,host_same_commit_clusters,delta_replaced_clusters,matched_dets,delta_commit_pairs,delta_drop_pairs,deferred_dets,blocked_tracks,gate_pass_clusters,gate_filtered_clusters,trigger_filtered_clusters,skipped_large_clusters,budget_filtered_clusters,margin_filtered_pairs,capped_commit_pairs,all_defer_clusters,empty_pair_candidate_clusters,post_filter_empty_clusters,HOTA,AssA,IDF1,MOTA,IDSW,status,error
00_host_only,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_stage1_largecomp4_pairtarget_forcegate0_20260326_232228/00_host_only,official_bytetrack_stage1_largecomp4_pairtarget_forcegate0,official_bytetrack_forcegate0_probe,/gemini/code/FMtrack-main/FM-Track/third_party/ByteTrack/exps/example/mot/yolox_x_mix_det_valhalf.py,/gemini/code/FMtrack-main/FM-Track/weight/bytetrack_x_mot17.pth.tar,official_bytetrack_stage1_largecomp4_pairtarget_forcegate0_shared_detection_pair,official_bytetrack,host_only,,,,,,,,,,,,,,42,0.6,30,0.9,100.0,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_stage1_largecomp4_pairtarget_forcegate0_20260326_232228/00_host_only/track_results,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_stage1_largecomp4_pairtarget_forcegate0_20260326_232228/00_host_only/trackeval/eval/00_host_only,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_stage1_largecomp4_pairtarget_forcegate0_20260326_232228/shared_pair_core.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.928,77.095,86.513,90.143,180,success,
01_host_plus_plugin,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_stage1_largecomp4_pairtarget_forcegate0_20260326_232228/01_host_plus_plugin,official_bytetrack_stage1_largecomp4_pairtarget_forcegate0,official_bytetrack_forcegate0_probe,/gemini/code/FMtrack-main/FM-Track/third_party/ByteTrack/exps/example/mot/yolox_x_mix_det_valhalf.py,/gemini/code/FMtrack-main/FM-Track/weight/bytetrack_x_mot17.pth.tar,official_bytetrack_stage1_largecomp4_pairtarget_forcegate0_shared_detection_pair,official_bytetrack,host_plus_plugin,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_stage1_largecomp4_pairtarget_20260326_222143/01_stage1/best.pt,8,2,1,8,32,0.0,1.0,0.0,1,0.05,0,0.05,42,0.6,30,0.9,100.0,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_stage1_largecomp4_pairtarget_forcegate0_20260326_232228/01_host_plus_plugin/track_results,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_stage1_largecomp4_pairtarget_forcegate0_20260326_232228/01_host_plus_plugin/trackeval/eval/01_host_plus_plugin,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_stage1_largecomp4_pairtarget_forcegate0_20260326_232228/shared_pair_core.log,7009,2403,25,2378,2403,1,6221,20898,2403,7009,0,10,1012,4596,126,15557,8,0,2,77.924,77.094,86.510,90.139,181,success,
