seq,split_tag,frames_with_eligible_clusters,eligible_clusters,oversized_components,recovered_large_components,mined_large_subclusters,mined_component_clusters,detections,tracks,edges,trigger_pass_clusters,committed_matches,cluster_should_intervene_clusters,cluster_utility_gain,cluster_edit_gain,cluster_edit_cost,cluster_edit_utility_gain,cluster_should_intervene_soft_clusters,cluster_soft_utility_gain,host_equals_oracle_clusters,host_runtime_equals_oracle_clusters,host_committed_matches,host_runtime_committed_matches,oracle_committed_matches,delta_committed_matches,edit_committed_matches,rescue_committed_matches,hard_delta_committed_matches,soft_rescue_committed_matches,edit_rows,rescue_rows,add_commit_rows,reassign_rows,force_defer_rows,hard_delta_rows,soft_rescue_rows,rescue_force_defer_rows
MOT17-05-FRCNN,train,418,418,133,133,133,133,2873,4387,22742,418,43,173,348.9000000000001,357.5,8.600000000000001,348.9000000000001,33,35.25,144,179,2856,2691,2228,43,43,44,9,35,672,44,1,42,629,9,35,472
MOT17-09-FRCNN,train,262,262,89,89,89,89,1865,2412,14449,262,5,32,82.49999999999999,83.5,1.0,82.49999999999999,5,3.75,140,154,1863,1835,1706,5,5,5,0,5,162,5,0,5,157,0,5,129
MOT17-11-FRCNN,val,450,450,351,351,351,351,3535,5375,28280,446,8,156,323.9,325.5,1.5999999999999999,323.9,8,6.0,192,216,3535,3440,2900,8,8,8,0,8,643,8,0,8,635,0,8,540
