sequence,support,cases,appearance_accuracy,candidate_only_accuracy,geometry_accuracy,mean_candidate_samples,mean_suppressor_samples
MOT20-01,both_prototypes,21,0.8571428571428571,0.9047619047619048,0.19047619047619047,72.19047419230144,117.47619220188686
MOT20-02,both_prototypes,290,0.6103448275862069,0.9275862068965517,0.1724137931034483,211.7103488790578,240.11380043851918
MOT20-03,both_prototypes,101,0.5544554455445545,0.7722772277227723,0.27722772277227725,254.26733721364843,265.31684091775725
MOT20-05,both_prototypes,445,0.6269662921348315,0.8898876404494382,0.19550561797752808,779.0719416318315,693.4315408106601
COMBINED,both_prototypes,857,0.6184364060676779,0.8891481913652275,0.1971995332555426,507.91133747690617,475.4656228201253
