outer_sequence,mechanism,calibration_sequence,temporal_block,positive_events,minimum_positive_rank
MOT17-09-FRCNN,receiver_split,MOT17-05-FRCNN,0,10,5
MOT17-09-FRCNN,receiver_split,MOT17-05-FRCNN,1,2,162
MOT17-09-FRCNN,receiver_split,MOT17-10-FRCNN,0,2,7
MOT17-09-FRCNN,receiver_split,MOT17-10-FRCNN,1,1,112
MOT17-09-FRCNN,receiver_split,MOT17-10-FRCNN,2,6,4
MOT17-09-FRCNN,receiver_split,MOT17-10-FRCNN,3,8,8
MOT17-09-FRCNN,receiver_split,MOT17-11-FRCNN,3,2,37
MOT17-09-FRCNN,receiver_split,MOT17-13-FRCNN,0,20,20
MOT17-09-FRCNN,receiver_split,MOT17-13-FRCNN,1,6,14
MOT17-09-FRCNN,receiver_split,MOT17-13-FRCNN,2,38,1
MOT17-09-FRCNN,same_identity_merge,MOT17-02-FRCNN,0,3,6
MOT17-09-FRCNN,same_identity_merge,MOT17-02-FRCNN,1,3,5
MOT17-09-FRCNN,same_identity_merge,MOT17-02-FRCNN,2,3,39
MOT17-09-FRCNN,same_identity_merge,MOT17-02-FRCNN,3,3,7
MOT17-09-FRCNN,same_identity_merge,MOT17-04-FRCNN,3,1,1
MOT17-09-FRCNN,same_identity_merge,MOT17-05-FRCNN,1,2,25
MOT17-09-FRCNN,same_identity_merge,MOT17-05-FRCNN,3,2,1
MOT17-09-FRCNN,same_identity_merge,MOT17-10-FRCNN,2,2,1
MOT17-09-FRCNN,same_identity_merge,MOT17-11-FRCNN,2,1,1
MOT17-09-FRCNN,same_identity_merge,MOT17-11-FRCNN,3,1,9
MOT17-09-FRCNN,same_identity_merge,MOT17-13-FRCNN,2,1,2
MOT17-10-FRCNN,receiver_split,MOT17-02-FRCNN,0,36,1
MOT17-10-FRCNN,receiver_split,MOT17-02-FRCNN,1,110,19
MOT17-10-FRCNN,receiver_split,MOT17-02-FRCNN,2,30,17
MOT17-10-FRCNN,receiver_split,MOT17-02-FRCNN,3,21,8
MOT17-10-FRCNN,receiver_split,MOT17-04-FRCNN,3,2,1
MOT17-10-FRCNN,receiver_split,MOT17-05-FRCNN,0,10,2
MOT17-10-FRCNN,receiver_split,MOT17-05-FRCNN,1,2,102
MOT17-10-FRCNN,receiver_split,MOT17-09-FRCNN,0,1,21
MOT17-10-FRCNN,receiver_split,MOT17-09-FRCNN,1,4,5
MOT17-10-FRCNN,receiver_split,MOT17-09-FRCNN,3,2,12
MOT17-10-FRCNN,receiver_split,MOT17-11-FRCNN,3,2,32
MOT17-10-FRCNN,receiver_split,MOT17-13-FRCNN,0,20,29
MOT17-10-FRCNN,receiver_split,MOT17-13-FRCNN,1,6,7
MOT17-10-FRCNN,receiver_split,MOT17-13-FRCNN,2,38,1
MOT17-10-FRCNN,same_identity_merge,MOT17-02-FRCNN,0,3,1
MOT17-10-FRCNN,same_identity_merge,MOT17-02-FRCNN,1,3,3
MOT17-10-FRCNN,same_identity_merge,MOT17-02-FRCNN,2,3,18
MOT17-10-FRCNN,same_identity_merge,MOT17-02-FRCNN,3,3,1
MOT17-10-FRCNN,same_identity_merge,MOT17-04-FRCNN,3,1,1
MOT17-10-FRCNN,same_identity_merge,MOT17-05-FRCNN,1,2,24
MOT17-10-FRCNN,same_identity_merge,MOT17-05-FRCNN,3,2,1
