sequence,variant,score_bin,suppressor_iou_bin,selected_events
MOT20-02,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p90_0p95,250
MOT20-02,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p95_0p99,81
MOT20-02,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p70_0p75,204
MOT20-02,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p75_0p80,178
MOT20-02,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p80_0p90,755
MOT20-02,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p90_0p95,1082
MOT20-02,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p95_0p99,905
MOT20-02,prenms_budget_replace_add_oracle,score_ge_0p60,iou_0p70_0p75,473
MOT20-02,prenms_budget_replace_add_oracle,score_ge_0p60,iou_0p75_0p80,201
MOT20-02,prenms_budget_replace_add_oracle,score_ge_0p60,iou_0p80_0p90,836
MOT20-02,prenms_budget_replace_add_oracle,score_ge_0p60,iou_0p90_0p95,5089
MOT20-02,prenms_budget_replace_add_oracle,score_ge_0p60,iou_0p95_0p99,12799
MOT20-03,prenms_budget_additive_oracle,score_0p09_0p10,iou_0p70_0p75,27
MOT20-03,prenms_budget_additive_oracle,score_0p09_0p10,iou_0p75_0p80,25
MOT20-03,prenms_budget_additive_oracle,score_0p09_0p10,iou_0p80_0p90,33
MOT20-03,prenms_budget_additive_oracle,score_0p10_0p30,iou_0p70_0p75,218
MOT20-03,prenms_budget_additive_oracle,score_0p10_0p30,iou_0p75_0p80,258
MOT20-03,prenms_budget_additive_oracle,score_0p10_0p30,iou_0p80_0p90,464
MOT20-03,prenms_budget_additive_oracle,score_0p10_0p30,iou_0p90_0p95,88
MOT20-03,prenms_budget_additive_oracle,score_0p10_0p30,iou_0p95_0p99,3
MOT20-03,prenms_budget_additive_oracle,score_0p30_0p60,iou_0p70_0p75,88
MOT20-03,prenms_budget_additive_oracle,score_0p30_0p60,iou_0p75_0p80,120
MOT20-03,prenms_budget_additive_oracle,score_0p30_0p60,iou_0p80_0p90,464
MOT20-03,prenms_budget_additive_oracle,score_0p30_0p60,iou_0p90_0p95,495
MOT20-03,prenms_budget_additive_oracle,score_0p30_0p60,iou_0p95_0p99,122
MOT20-03,prenms_budget_additive_oracle,score_ge_0p60,iou_0p70_0p75,54
MOT20-03,prenms_budget_additive_oracle,score_ge_0p60,iou_0p75_0p80,43
MOT20-03,prenms_budget_additive_oracle,score_ge_0p60,iou_0p80_0p90,134
MOT20-03,prenms_budget_additive_oracle,score_ge_0p60,iou_0p90_0p95,536
MOT20-03,prenms_budget_additive_oracle,score_ge_0p60,iou_0p95_0p99,1099
MOT20-03,prenms_budget_replace_add_oracle,score_0p09_0p10,iou_0p70_0p75,30
MOT20-03,prenms_budget_replace_add_oracle,score_0p09_0p10,iou_0p75_0p80,31
MOT20-03,prenms_budget_replace_add_oracle,score_0p09_0p10,iou_0p80_0p90,37
MOT20-03,prenms_budget_replace_add_oracle,score_0p09_0p10,iou_0p90_0p95,1
MOT20-03,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p70_0p75,298
MOT20-03,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p75_0p80,353
MOT20-03,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p80_0p90,740
MOT20-03,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p90_0p95,291
MOT20-03,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p95_0p99,50
MOT20-03,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p70_0p75,185
MOT20-03,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p75_0p80,257
MOT20-03,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p80_0p90,1230
MOT20-03,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p90_0p95,2049
MOT20-03,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p95_0p99,1489
MOT20-03,prenms_budget_replace_add_oracle,score_ge_0p60,iou_0p70_0p75,120
MOT20-03,prenms_budget_replace_add_oracle,score_ge_0p60,iou_0p75_0p80,104
MOT20-03,prenms_budget_replace_add_oracle,score_ge_0p60,iou_0p80_0p90,582
MOT20-03,prenms_budget_replace_add_oracle,score_ge_0p60,iou_0p90_0p95,4988
MOT20-03,prenms_budget_replace_add_oracle,score_ge_0p60,iou_0p95_0p99,36479
MOT20-05,prenms_budget_additive_oracle,score_0p09_0p10,iou_0p70_0p75,22
MOT20-05,prenms_budget_additive_oracle,score_0p09_0p10,iou_0p75_0p80,31
MOT20-05,prenms_budget_additive_oracle,score_0p09_0p10,iou_0p80_0p90,30
MOT20-05,prenms_budget_additive_oracle,score_0p10_0p30,iou_0p70_0p75,230
MOT20-05,prenms_budget_additive_oracle,score_0p10_0p30,iou_0p75_0p80,222
MOT20-05,prenms_budget_additive_oracle,score_0p10_0p30,iou_0p80_0p90,618
MOT20-05,prenms_budget_additive_oracle,score_0p10_0p30,iou_0p90_0p95,227
MOT20-05,prenms_budget_additive_oracle,score_0p10_0p30,iou_0p95_0p99,3
MOT20-05,prenms_budget_additive_oracle,score_0p30_0p60,iou_0p70_0p75,153
MOT20-05,prenms_budget_additive_oracle,score_0p30_0p60,iou_0p75_0p80,139
MOT20-05,prenms_budget_additive_oracle,score_0p30_0p60,iou_0p80_0p90,535
MOT20-05,prenms_budget_additive_oracle,score_0p30_0p60,iou_0p90_0p95,839
MOT20-05,prenms_budget_additive_oracle,score_0p30_0p60,iou_0p95_0p99,346
MOT20-05,prenms_budget_additive_oracle,score_ge_0p60,iou_0p70_0p75,252
MOT20-05,prenms_budget_additive_oracle,score_ge_0p60,iou_0p75_0p80,118
MOT20-05,prenms_budget_additive_oracle,score_ge_0p60,iou_0p80_0p90,276
MOT20-05,prenms_budget_additive_oracle,score_ge_0p60,iou_0p90_0p95,1054
MOT20-05,prenms_budget_additive_oracle,score_ge_0p60,iou_0p95_0p99,3147
MOT20-05,prenms_budget_replace_add_oracle,score_0p09_0p10,iou_0p70_0p75,37
MOT20-05,prenms_budget_replace_add_oracle,score_0p09_0p10,iou_0p75_0p80,50
MOT20-05,prenms_budget_replace_add_oracle,score_0p09_0p10,iou_0p80_0p90,54
MOT20-05,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p70_0p75,428
MOT20-05,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p75_0p80,447
MOT20-05,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p80_0p90,1494
MOT20-05,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p90_0p95,971
MOT20-05,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p95_0p99,25
MOT20-05,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p70_0p75,397
MOT20-05,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p75_0p80,455
MOT20-05,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p80_0p90,2327
MOT20-05,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p90_0p95,5977
MOT20-05,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p95_0p99,4224
MOT20-05,prenms_budget_replace_add_oracle,score_ge_0p60,iou_0p70_0p75,606
MOT20-05,prenms_budget_replace_add_oracle,score_ge_0p60,iou_0p75_0p80,250
MOT20-05,prenms_budget_replace_add_oracle,score_ge_0p60,iou_0p80_0p90,1656
MOT20-05,prenms_budget_replace_add_oracle,score_ge_0p60,iou_0p90_0p95,17812
MOT20-05,prenms_budget_replace_add_oracle,score_ge_0p60,iou_0p95_0p99,74880
