step,name,status,run_root,summary_csv,log_path,started_at,finished_at,seq_ids,delta_hota,delta_assa,delta_idf1,delta_mota,delta_ids,delta_frag,changed_blocks,forced_matches,accepted_candidates,rejected_candidates,notes,params_json
reference_current_gate,graphassoc_gate_next5h_20260424_230311,reference,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_081619_graphassoc_commit_gatedblend_next5h/mot20_eval/03_policy_t003,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_081619_graphassoc_commit_gatedblend_next5h/mot20_eval/03_policy_t003/summary.csv,,,,2|5,0.3369999999999891,0.6140000000000043,0.6119999999999948,0.009000000000000341,-4,-8,28,57,28,335,current best structured validation reference; not rerun in this queue,"{""reference_metrics"": ""/gemini/code/FMtrack-main/FM-Track/outputs/20260505_081619_graphassoc_commit_gatedblend_next5h/mot20_eval/03_policy_t003/metrics_delta.csv""}"
01_wide_replace_weighted_neutral,wide_replace_weighted_neutral,success,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/runs/01_wide_replace_weighted_neutral,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/runs/01_wide_replace_weighted_neutral/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/logs/01_wide_replace_weighted_neutral.log,2026-05-05T14:43:53+08:00,2026-05-05T15:59:43+08:00,2|5,0.3369999999999891,0.6140000000000043,0.6119999999999948,0.009000000000000341,-4,-8,28,57,28,335,expand the local competition graph and let the learned dual-head gate replace hand rules | complete,"{""extra_args"": [""--graph-assoc-top-k"", ""4"", ""--graph-assoc-max-rows"", ""5"", ""--graph-assoc-max-cols"", ""5"", ""--graph-assoc-row-margin"", ""0.06"", ""--graph-assoc-col-margin"", ""0.06"", ""--graph-assoc-min-reclaim-tracklet-len"", ""12"", ""--graph-assoc-recent-owner-max-tracklet-len"", ""14"", ""--graph-assoc-min-box-iou"", ""0.50"", ""--graph-assoc-reclaim-bonus"", ""0.16"", ""--graph-assoc-recent-owner-penalty"", ""0.08"", ""--graph-assoc-iou-bonus"", ""0.06"", ""--graph-assoc-score-bonus"", ""0.02"", ""--graph-assoc-min-assignment-gain"", ""0.003"", ""--graph-assoc-max-cost-delta"", ""0.10"", ""--graph-assoc-row-involved-min-assignment-gain"", ""0.003"", ""--graph-assoc-col-only-min-assignment-gain"", ""0.003"", ""--graph-assoc-col-only-max-cost-delta"", ""0.10"", ""--graph-assoc-force-match-cost"", ""0.0"", ""--graph-assoc-commit-checkpoint"", ""/gemini/code/FMtrack-main/FM-Track/outputs/20260505_081619_graphassoc_commit_gatedblend_next5h/train_policy/best.pt"", ""--graph-assoc-commit-device"", ""cuda"", ""--graph-assoc-commit-score-margin"", ""0.0"", ""--graph-assoc-commit-replace-rules"", ""--graph-assoc-dump-candidate-rows""]}"
02_wide_replace_pos_minus_neutral_t003,wide_replace_pos_minus_neutral_t003,success,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/runs/02_wide_replace_pos_minus_neutral_t003,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/runs/02_wide_replace_pos_minus_neutral_t003/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/logs/02_wide_replace_pos_minus_neutral_t003.log,2026-05-05T15:59:44+08:00,2026-05-05T17:17:22+08:00,2|5,0.3369999999999891,0.6140000000000043,0.6119999999999948,0.009000000000000341,-4,-8,28,57,28,335,use direct positive-minus-neutral scoring to test whether neutral weighting is over-suppressing useful rewrites | complete,"{""extra_args"": [""--graph-assoc-top-k"", ""4"", ""--graph-assoc-max-rows"", ""5"", ""--graph-assoc-max-cols"", ""5"", ""--graph-assoc-row-margin"", ""0.06"", ""--graph-assoc-col-margin"", ""0.06"", ""--graph-assoc-min-reclaim-tracklet-len"", ""12"", ""--graph-assoc-recent-owner-max-tracklet-len"", ""14"", ""--graph-assoc-min-box-iou"", ""0.50"", ""--graph-assoc-reclaim-bonus"", ""0.16"", ""--graph-assoc-recent-owner-penalty"", ""0.08"", ""--graph-assoc-iou-bonus"", ""0.06"", ""--graph-assoc-score-bonus"", ""0.02"", ""--graph-assoc-min-assignment-gain"", ""0.003"", ""--graph-assoc-max-cost-delta"", ""0.10"", ""--graph-assoc-row-involved-min-assignment-gain"", ""0.003"", ""--graph-assoc-col-only-min-assignment-gain"", ""0.003"", ""--graph-assoc-col-only-max-cost-delta"", ""0.10"", ""--graph-assoc-force-match-cost"", ""0.0"", ""--graph-assoc-commit-checkpoint"", ""/gemini/code/FMtrack-main/FM-Track/outputs/20260505_081619_graphassoc_commit_gatedblend_next5h/train_policy/best.pt"", ""--graph-assoc-commit-device"", ""cuda"", ""--graph-assoc-commit-score-margin"", ""0.0"", ""--graph-assoc-commit-replace-rules"", ""--graph-assoc-dump-candidate-rows"", ""--graph-assoc-commit-decision-mode"", ""positive_minus_neutral"", ""--graph-assoc-commit-threshold"", ""0.03""]}"
03_wide_replace_dualthr_p070_n070,wide_replace_dualthr_p070_n070,success,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/runs/03_wide_replace_dualthr_p070_n070,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/runs/03_wide_replace_dualthr_p070_n070/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/logs/03_wide_replace_dualthr_p070_n070.log,2026-05-05T17:17:22+08:00,2026-05-05T18:32:30+08:00,2|5,0.3369999999999891,0.6140000000000043,0.6119999999999948,0.009000000000000341,-4,-8,28,57,28,335,force a two-head accept rule: enough positive evidence and bounded neutral risk | complete,"{""extra_args"": [""--graph-assoc-top-k"", ""4"", ""--graph-assoc-max-rows"", ""5"", ""--graph-assoc-max-cols"", ""5"", ""--graph-assoc-row-margin"", ""0.06"", ""--graph-assoc-col-margin"", ""0.06"", ""--graph-assoc-min-reclaim-tracklet-len"", ""12"", ""--graph-assoc-recent-owner-max-tracklet-len"", ""14"", ""--graph-assoc-min-box-iou"", ""0.50"", ""--graph-assoc-reclaim-bonus"", ""0.16"", ""--graph-assoc-recent-owner-penalty"", ""0.08"", ""--graph-assoc-iou-bonus"", ""0.06"", ""--graph-assoc-score-bonus"", ""0.02"", ""--graph-assoc-min-assignment-gain"", ""0.003"", ""--graph-assoc-max-cost-delta"", ""0.10"", ""--graph-assoc-row-involved-min-assignment-gain"", ""0.003"", ""--graph-assoc-col-only-min-assignment-gain"", ""0.003"", ""--graph-assoc-col-only-max-cost-delta"", ""0.10"", ""--graph-assoc-force-match-cost"", ""0.0"", ""--graph-assoc-commit-checkpoint"", ""/gemini/code/FMtrack-main/FM-Track/outputs/20260505_081619_graphassoc_commit_gatedblend_next5h/train_policy/best.pt"", ""--graph-assoc-commit-device"", ""cuda"", ""--graph-assoc-commit-score-margin"", ""0.0"", ""--graph-assoc-commit-replace-rules"", ""--graph-assoc-dump-candidate-rows"", ""--graph-assoc-commit-decision-mode"", ""dual_threshold"", ""--graph-assoc-commit-positive-threshold"", ""0.70"", ""--graph-assoc-commit-neutral-threshold"", ""0.70""]}"
04_default_replace_pos_minus_neutral_t003,default_replace_pos_minus_neutral_t003,success,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/runs/04_default_replace_pos_minus_neutral_t003,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/runs/04_default_replace_pos_minus_neutral_t003/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/logs/04_default_replace_pos_minus_neutral_t003.log,2026-05-05T18:32:30+08:00,2026-05-05T19:51:14+08:00,2|5,0.09399999999999409,0.13500000000000512,0.16499999999999204,-0.005000000000009663,5,-11,72,116,72,250,keep the current graph geometry but change the learned decision surface | complete,"{""extra_args"": [""--graph-assoc-top-k"", ""3"", ""--graph-assoc-max-rows"", ""4"", ""--graph-assoc-max-cols"", ""4"", ""--graph-assoc-row-margin"", ""0.05"", ""--graph-assoc-col-margin"", ""0.05"", ""--graph-assoc-min-reclaim-tracklet-len"", ""15"", ""--graph-assoc-recent-owner-max-tracklet-len"", ""12"", ""--graph-assoc-min-box-iou"", ""0.55"", ""--graph-assoc-reclaim-bonus"", ""0.15"", ""--graph-assoc-recent-owner-penalty"", ""0.08"", ""--graph-assoc-iou-bonus"", ""0.05"", ""--graph-assoc-score-bonus"", ""0.02"", ""--graph-assoc-min-assignment-gain"", ""0.005"", ""--graph-assoc-max-cost-delta"", ""0.08"", ""--graph-assoc-row-involved-min-assignment-gain"", ""0.005"", ""--graph-assoc-col-only-min-assignment-gain"", ""0.005"", ""--graph-assoc-col-only-max-cost-delta"", ""0.08"", ""--graph-assoc-force-match-cost"", ""0.0"", ""--graph-assoc-commit-checkpoint"", ""/gemini/code/FMtrack-main/FM-Track/outputs/20260505_081619_graphassoc_commit_gatedblend_next5h/train_policy/best.pt"", ""--graph-assoc-commit-device"", ""cuda"", ""--graph-assoc-commit-score-margin"", ""0.0"", ""--graph-assoc-commit-replace-rules"", ""--graph-assoc-dump-candidate-rows"", ""--graph-assoc-commit-decision-mode"", ""positive_minus_neutral"", ""--graph-assoc-commit-threshold"", ""0.03""]}"
05_wide_replace_weighted_thr000,wide_replace_weighted_thr000,success,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/runs/05_wide_replace_weighted_thr000,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/runs/05_wide_replace_weighted_thr000/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/logs/05_wide_replace_weighted_thr000.log,2026-05-05T19:51:14+08:00,2026-05-05T21:12:10+08:00,2|5,0.3369999999999891,0.6140000000000043,0.6119999999999948,0.009000000000000341,-4,-8,28,57,28,335,lower the weighted dual-head accept threshold to expand from the ultra-conservative 18 accepted blocks | complete,"{""extra_args"": [""--graph-assoc-top-k"", ""4"", ""--graph-assoc-max-rows"", ""5"", ""--graph-assoc-max-cols"", ""5"", ""--graph-assoc-row-margin"", ""0.06"", ""--graph-assoc-col-margin"", ""0.06"", ""--graph-assoc-min-reclaim-tracklet-len"", ""12"", ""--graph-assoc-recent-owner-max-tracklet-len"", ""14"", ""--graph-assoc-min-box-iou"", ""0.50"", ""--graph-assoc-reclaim-bonus"", ""0.16"", ""--graph-assoc-recent-owner-penalty"", ""0.08"", ""--graph-assoc-iou-bonus"", ""0.06"", ""--graph-assoc-score-bonus"", ""0.02"", ""--graph-assoc-min-assignment-gain"", ""0.003"", ""--graph-assoc-max-cost-delta"", ""0.10"", ""--graph-assoc-row-involved-min-assignment-gain"", ""0.003"", ""--graph-assoc-col-only-min-assignment-gain"", ""0.003"", ""--graph-assoc-col-only-max-cost-delta"", ""0.10"", ""--graph-assoc-force-match-cost"", ""0.0"", ""--graph-assoc-commit-checkpoint"", ""/gemini/code/FMtrack-main/FM-Track/outputs/20260505_081619_graphassoc_commit_gatedblend_next5h/train_policy/best.pt"", ""--graph-assoc-commit-device"", ""cuda"", ""--graph-assoc-commit-score-margin"", ""0.0"", ""--graph-assoc-commit-replace-rules"", ""--graph-assoc-dump-candidate-rows"", ""--graph-assoc-commit-threshold"", ""0.0""]}"
06_wide_replace_weighted_thr_minus005,wide_replace_weighted_thr_minus005,success,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/runs/06_wide_replace_weighted_thr_minus005,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/runs/06_wide_replace_weighted_thr_minus005/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/logs/06_wide_replace_weighted_thr_minus005.log,2026-05-05T21:12:10+08:00,2026-05-05T22:29:55+08:00,2|5,0.3369999999999891,0.6140000000000043,0.6119999999999948,0.009000000000000341,-4,-8,28,57,28,335,stress-test a wider learned replacement policy; candidate replay predicts roughly twice the accepted block count | complete,"{""extra_args"": [""--graph-assoc-top-k"", ""4"", ""--graph-assoc-max-rows"", ""5"", ""--graph-assoc-max-cols"", ""5"", ""--graph-assoc-row-margin"", ""0.06"", ""--graph-assoc-col-margin"", ""0.06"", ""--graph-assoc-min-reclaim-tracklet-len"", ""12"", ""--graph-assoc-recent-owner-max-tracklet-len"", ""14"", ""--graph-assoc-min-box-iou"", ""0.50"", ""--graph-assoc-reclaim-bonus"", ""0.16"", ""--graph-assoc-recent-owner-penalty"", ""0.08"", ""--graph-assoc-iou-bonus"", ""0.06"", ""--graph-assoc-score-bonus"", ""0.02"", ""--graph-assoc-min-assignment-gain"", ""0.003"", ""--graph-assoc-max-cost-delta"", ""0.10"", ""--graph-assoc-row-involved-min-assignment-gain"", ""0.003"", ""--graph-assoc-col-only-min-assignment-gain"", ""0.003"", ""--graph-assoc-col-only-max-cost-delta"", ""0.10"", ""--graph-assoc-force-match-cost"", ""0.0"", ""--graph-assoc-commit-checkpoint"", ""/gemini/code/FMtrack-main/FM-Track/outputs/20260505_081619_graphassoc_commit_gatedblend_next5h/train_policy/best.pt"", ""--graph-assoc-commit-device"", ""cuda"", ""--graph-assoc-commit-score-margin"", ""0.0"", ""--graph-assoc-commit-replace-rules"", ""--graph-assoc-dump-candidate-rows"", ""--graph-assoc-commit-threshold"", ""-0.05""]}"
07_wide_gateonly_weighted_m015,wide_gateonly_weighted_m015,success,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/runs/07_wide_gateonly_weighted_m015,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/runs/07_wide_gateonly_weighted_m015/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/logs/07_wide_gateonly_weighted_m015.log,2026-05-05T22:29:55+08:00,2026-05-05T23:49:39+08:00,2|5,0.08399999999998897,0.1770000000000067,0.18500000000000227,-0.0020000000000095497,1,4,11,26,39,309,rules-first hybrid: hand rules form a quality floor while the learned gate only vetoes high-risk blocks | complete,"{""extra_args"": [""--graph-assoc-top-k"", ""4"", ""--graph-assoc-max-rows"", ""5"", ""--graph-assoc-max-cols"", ""5"", ""--graph-assoc-row-margin"", ""0.06"", ""--graph-assoc-col-margin"", ""0.06"", ""--graph-assoc-min-reclaim-tracklet-len"", ""12"", ""--graph-assoc-recent-owner-max-tracklet-len"", ""14"", ""--graph-assoc-min-box-iou"", ""0.50"", ""--graph-assoc-reclaim-bonus"", ""0.16"", ""--graph-assoc-recent-owner-penalty"", ""0.08"", ""--graph-assoc-iou-bonus"", ""0.06"", ""--graph-assoc-score-bonus"", ""0.02"", ""--graph-assoc-min-assignment-gain"", ""0.003"", ""--graph-assoc-max-cost-delta"", ""0.10"", ""--graph-assoc-row-involved-min-assignment-gain"", ""0.003"", ""--graph-assoc-col-only-min-assignment-gain"", ""0.003"", ""--graph-assoc-col-only-max-cost-delta"", ""0.10"", ""--graph-assoc-force-match-cost"", ""0.0"", ""--graph-assoc-commit-checkpoint"", ""/gemini/code/FMtrack-main/FM-Track/outputs/20260505_081619_graphassoc_commit_gatedblend_next5h/train_policy/best.pt"", ""--graph-assoc-commit-device"", ""cuda"", ""--graph-assoc-commit-score-margin"", ""-0.15"", ""--graph-assoc-commit-gate-only"", ""--graph-assoc-dump-candidate-rows""]}"
08_wide_gateonly_weighted_m025,wide_gateonly_weighted_m025,success,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/runs/08_wide_gateonly_weighted_m025,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/runs/08_wide_gateonly_weighted_m025/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/logs/08_wide_gateonly_weighted_m025.log,2026-05-05T23:49:39+08:00,2026-05-06T01:03:08+08:00,2|5,0.08599999999999852,0.1770000000000067,0.18999999999999773,-0.0020000000000095497,4,0,20,47,60,265,looser rules-first hybrid to recover positive-utility candidates over-rejected by the learned gate | complete,"{""extra_args"": [""--graph-assoc-top-k"", ""4"", ""--graph-assoc-max-rows"", ""5"", ""--graph-assoc-max-cols"", ""5"", ""--graph-assoc-row-margin"", ""0.06"", ""--graph-assoc-col-margin"", ""0.06"", ""--graph-assoc-min-reclaim-tracklet-len"", ""12"", ""--graph-assoc-recent-owner-max-tracklet-len"", ""14"", ""--graph-assoc-min-box-iou"", ""0.50"", ""--graph-assoc-reclaim-bonus"", ""0.16"", ""--graph-assoc-recent-owner-penalty"", ""0.08"", ""--graph-assoc-iou-bonus"", ""0.06"", ""--graph-assoc-score-bonus"", ""0.02"", ""--graph-assoc-min-assignment-gain"", ""0.003"", ""--graph-assoc-max-cost-delta"", ""0.10"", ""--graph-assoc-row-involved-min-assignment-gain"", ""0.003"", ""--graph-assoc-col-only-min-assignment-gain"", ""0.003"", ""--graph-assoc-col-only-max-cost-delta"", ""0.10"", ""--graph-assoc-force-match-cost"", ""0.0"", ""--graph-assoc-commit-checkpoint"", ""/gemini/code/FMtrack-main/FM-Track/outputs/20260505_081619_graphassoc_commit_gatedblend_next5h/train_policy/best.pt"", ""--graph-assoc-commit-device"", ""cuda"", ""--graph-assoc-commit-score-margin"", ""-0.25"", ""--graph-assoc-commit-gate-only"", ""--graph-assoc-dump-candidate-rows""]}"
09_expand_med_replace,expand_med_replace,success,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/runs/09_expand_med_replace,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/runs/09_expand_med_replace/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/20260505_144347_graphassoc_gate_structural_next5h_gatedblend/logs/09_expand_med_replace.log,2026-05-06T08:16:24+08:00,2026-05-06T09:26:50+08:00,2|5,0.29699999999999704,0.563999999999993,0.5699999999999932,0.003999999999990678,-5,-9,37,77,37,365,"larger candidate graph with learned replacement to test whether coverage, not gate logic, is the main limiter | complete","{""extra_args"": [""--graph-assoc-top-k"", ""5"", ""--graph-assoc-max-rows"", ""6"", ""--graph-assoc-max-cols"", ""6"", ""--graph-assoc-row-margin"", ""0.07"", ""--graph-assoc-col-margin"", ""0.07"", ""--graph-assoc-min-reclaim-tracklet-len"", ""10"", ""--graph-assoc-recent-owner-max-tracklet-len"", ""16"", ""--graph-assoc-min-box-iou"", ""0.45"", ""--graph-assoc-reclaim-bonus"", ""0.17"", ""--graph-assoc-recent-owner-penalty"", ""0.07"", ""--graph-assoc-iou-bonus"", ""0.07"", ""--graph-assoc-score-bonus"", ""0.02"", ""--graph-assoc-min-assignment-gain"", ""0.002"", ""--graph-assoc-max-cost-delta"", ""0.12"", ""--graph-assoc-row-involved-min-assignment-gain"", ""0.002"", ""--graph-assoc-col-only-min-assignment-gain"", ""0.002"", ""--graph-assoc-col-only-max-cost-delta"", ""0.12"", ""--graph-assoc-force-match-cost"", ""0.0"", ""--graph-assoc-commit-checkpoint"", ""/gemini/code/FMtrack-main/FM-Track/outputs/20260505_081619_graphassoc_commit_gatedblend_next5h/train_policy/best.pt"", ""--graph-assoc-commit-device"", ""cuda"", ""--graph-assoc-commit-score-margin"", ""0.0"", ""--graph-assoc-commit-replace-rules"", ""--graph-assoc-dump-candidate-rows""]}"
