exp,epoch,dataset,path,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,RHOTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,Dets,GT_Dets,IDs,GT_IDs,IDF1,IDR,IDP,IDTP,IDFN,IDFP
bytetrack_fa_mot_mot17,26.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_26/tracker/MOT17-train/pedestrian_summary.txt,8.6613,73.171,1.0417,79.062,86.33,1.5778,99.135,88.864,8.957,11.246,84.509,9.5036,-4.3874,88.296,78.625,85.103,92.926,38.889,40.741,20.37,46359.0,8115.0,3529.0,45220.0,84.0,88.0,44.0,315.0,-14.348,49888.0,54474.0,48844.0,216.0,,,,,,
bytetrack_fa_mot_mot17,27.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_27/tracker/MOT17-train/pedestrian_summary.txt,8.7404,73.128,1.048,79.021,86.317,1.2677,99.572,88.86,9.0769,10.745,84.503,9.0798,-4.8831,88.285,78.627,85.086,92.944,37.5,42.593,19.907,46350.0,8124.0,3519.0,45491.0,81.0,92.0,43.0,321.0,-14.851,49869.0,54474.0,49131.0,216.0,,,,,,
bytetrack_fa_mot_mot17,28.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_28/tracker/MOT17-train/pedestrian_summary.txt,5.7907,73.137,0.46032,79.035,86.316,1.1467,98.904,88.865,6.0177,7.1594,84.5,6.0498,-4.8684,88.304,78.586,85.075,92.913,38.426,40.278,21.296,46344.0,8130.0,3535.0,45461.0,83.0,87.0,46.0,310.0,-14.819,49879.0,54474.0,49084.0,216.0,,,,,,
bytetrack_fa_mot_mot17,29.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_29/tracker/MOT17-train/pedestrian_summary.txt,8.4151,73.1,0.97204,78.971,86.343,1.1707,99.514,88.868,8.7363,10.474,84.515,8.8517,-4.8555,88.297,78.59,85.026,92.963,37.963,41.667,20.37,46317.0,8157.0,3506.0,45456.0,82.0,90.0,44.0,321.0,-14.806,49823.0,54474.0,49108.0,216.0,,,,,,
bytetrack_fa_mot_mot17,3.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_3/tracker/MOT17-train/pedestrian_summary.txt,15.745,72.898,3.4205,78.818,86.188,3.7117,99.261,88.781,16.405,18.334,84.355,15.465,-2.3865,88.219,78.548,84.998,92.946,37.5,41.667,20.833,46302.0,8172.0,3514.0,44088.0,81.0,90.0,45.0,317.0,-12.4,49816.0,54474.0,47731.0,216.0,,,,,,
bytetrack_fa_mot_mot17,30.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_30/tracker/MOT17-train/pedestrian_summary.txt,5.8797,73.119,0.47485,79.015,86.317,1.0009,99.193,88.866,6.1076,7.3512,84.497,6.2115,-5.1034,88.306,78.581,85.061,92.921,38.426,40.278,21.296,46336.0,8138.0,3530.0,45586.0,83.0,87.0,46.0,314.0,-15.05,49866.0,54474.0,49211.0,216.0,,,,,,
bytetrack_fa_mot_mot17,31.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_31/tracker/MOT17-train/pedestrian_summary.txt,8.396,73.105,0.96827,78.98,86.342,1.3833,99.317,88.869,8.7171,10.416,84.51,8.8022,-4.7105,88.296,78.601,85.037,92.964,38.426,41.204,20.37,46323.0,8151.0,3506.0,45383.0,83.0,89.0,44.0,320.0,-14.663,49829.0,54474.0,49032.0,216.0,,,,,,
bytetrack_fa_mot_mot17,32.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_32/tracker/MOT17-train/pedestrian_summary.txt,4.384,73.153,0.26502,78.974,86.425,0.26502,100.0,88.886,4.5682,5.1783,84.58,4.3799,-6.0598,88.321,78.588,84.984,93.001,37.5,41.204,21.296,46294.0,8180.0,3484.0,46111.0,81.0,89.0,46.0,317.0,-15.985,49778.0,54474.0,49778.0,216.0,,,,,,
bytetrack_fa_mot_mot17,4.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_4/tracker/MOT17-train/pedestrian_summary.txt,4.3876,73.155,0.26544,78.976,86.425,0.26544,100.0,88.886,4.5719,5.1822,84.581,4.3831,-6.0543,88.321,78.59,84.985,93.001,37.5,41.667,20.833,46295.0,8179.0,3484.0,46109.0,81.0,90.0,45.0,317.0,-15.98,49779.0,54474.0,49776.0,216.0,,,,,,
bytetrack_fa_mot_mot17,5.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_5/tracker/MOT17-train/pedestrian_summary.txt,6.7197,73.133,0.62269,78.971,86.398,0.63163,99.934,88.883,7.0046,7.8537,84.562,6.6412,-5.5403,88.321,78.568,84.985,92.979,37.5,41.667,20.833,46295.0,8179.0,3496.0,45817.0,81.0,90.0,45.0,317.0,-15.466,49791.0,54474.0,49454.0,216.0,,,,,,
