step,name,status,run_root,summary_csv,log_path,started_at,finished_at,artifact_path,artifact_path_2,source_manifest,train_jsonl,val_jsonl,checkpoint,best_epoch,best_metric,best_threshold,train_rows,val_rows,sources,rows_total,rules_pass_rows,hard_negative_checkpoint,hard_negative_score_threshold,hard_negative_weight_multiplier,train_hard_negative_boosted,val_hard_negative_boosted,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,delta_hota,delta_assa,delta_idf1,delta_mota,delta_ids,delta_frag,notes,params_json
queue,graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117,completed,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117/logs/queue.log,,2026-04-29T11:18:41+08:00,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117,/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,"gate train-only queue completed, best_epoch=169, best_metric=0.6721; eval skipped","{""batch_size"": 64, ""commit_score_margin"": 0.0, ""dataset"": ""MOT20"", ""dropout"": 0.15, ""epochs"": 180, ""eval_device"": ""cpu"", ""hard_negative_checkpoint"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_20260424_230311/train_gate/best.pt"", ""hard_negative_score_threshold"": 0.5, ""hard_negative_weight_multiplier"": 3.0, ""harmful_target"": 0.0, ""harmful_weight"": 1.25, ""hidden_dim"": 16, ""init_checkpoint"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_20260424_230311/train_gate/best.pt"", ""model_type"": ""dual_head"", ""neutral_target"": 0.25, ""neutral_weight"": 0.5, ""num_hidden_layers"": 3, ""positive_target"": 1.0, ""positive_weight_scale"": 0.25, ""reuse_dataset_dir"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_mot20rows_rankv2_20260427_141017/gate_dataset"", ""rows_jsonl"": [], ""seq_ids"": [2, 5], ""skip_eval"": true, ""source_manifest"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv"", ""split"": ""train"", ""split_part"": ""val_half"", ""train_device"": ""cpu"", ""val_patterns"": """"}"
build_dataset,build_graph_assoc_gate_dataset,success,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117/gate_dataset/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117/logs/build_dataset.log,2026-04-29T11:16:59+08:00,2026-04-29T11:17:22+08:00,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117/gate_dataset/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117/gate_dataset/train.jsonl,/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117/gate_dataset/train.jsonl,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117/gate_dataset/val.jsonl,,,,,293,439,1,732,732,outputs/graphassoc_gate_next5h_20260424_230311/train_gate/best.pt,0.5,3.0,107,0,,,,,,,,,,,,"gate dataset ready, sources=1 train_rows=293 val_rows=439","{""batch_size"": 64, ""commit_score_margin"": 0.0, ""dataset"": ""MOT20"", ""dropout"": 0.15, ""epochs"": 180, ""eval_device"": ""cpu"", ""hard_negative_checkpoint"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_20260424_230311/train_gate/best.pt"", ""hard_negative_score_threshold"": 0.5, ""hard_negative_weight_multiplier"": 3.0, ""harmful_target"": 0.0, ""harmful_weight"": 1.25, ""hidden_dim"": 16, ""init_checkpoint"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_20260424_230311/train_gate/best.pt"", ""model_type"": ""dual_head"", ""neutral_target"": 0.25, ""neutral_weight"": 0.5, ""num_hidden_layers"": 3, ""positive_target"": 1.0, ""positive_weight_scale"": 0.25, ""reuse_dataset_dir"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_mot20rows_rankv2_20260427_141017/gate_dataset"", ""rows_jsonl"": [], ""seq_ids"": [2, 5], ""skip_eval"": true, ""source_manifest"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv"", ""split"": ""train"", ""split_part"": ""val_half"", ""train_device"": ""cpu"", ""val_patterns"": """"}"
train_gate,train_graph_assoc_gate_dual_head,success,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117/train_gate/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117/logs/train_gate.log,2026-04-29T11:17:27+08:00,2026-04-29T11:18:36+08:00,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117/train_gate/best.pt,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117/train_gate/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117/gate_dataset/train.jsonl,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117/gate_dataset/val.jsonl,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117/train_gate/best.pt,169,0.6720905343269383,0.16,293,439,,,,,,,,,0.7198177676537585,0.6720905343269383,0.29927007299270075,0.6029411764705882,0.4,,,,,,,"gate training complete, best_epoch=169 best_metric=0.6721 best_threshold=0.160","{""batch_size"": 64, ""commit_score_margin"": 0.0, ""dataset"": ""MOT20"", ""dropout"": 0.15, ""epochs"": 180, ""eval_device"": ""cpu"", ""hard_negative_checkpoint"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_20260424_230311/train_gate/best.pt"", ""hard_negative_score_threshold"": 0.5, ""hard_negative_weight_multiplier"": 3.0, ""harmful_target"": 0.0, ""harmful_weight"": 1.25, ""hidden_dim"": 16, ""init_checkpoint"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_20260424_230311/train_gate/best.pt"", ""model_type"": ""dual_head"", ""neutral_target"": 0.25, ""neutral_weight"": 0.5, ""num_hidden_layers"": 3, ""positive_target"": 1.0, ""positive_weight_scale"": 0.25, ""reuse_dataset_dir"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_mot20rows_rankv2_20260427_141017/gate_dataset"", ""rows_jsonl"": [], ""seq_ids"": [2, 5], ""skip_eval"": true, ""source_manifest"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv"", ""split"": ""train"", ""split_part"": ""val_half"", ""train_device"": ""cpu"", ""val_patterns"": """"}"
eval_replace_rules,eval_graphassoc_gate_replace_rules,skipped,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117/mot20_eval/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117/logs/eval_replace_rules.log,,,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117/mot20_eval/metrics_compare.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117/mot20_eval/metrics_delta.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv,,,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_hardneg_trainonly_oldteacher_t050_w3_20260429_1117/train_gate/best.pt,,,,,,,,,,,,,,,,,,,,,,,,,MOT20 evaluation skipped by flag,"{""batch_size"": 64, ""commit_score_margin"": 0.0, ""dataset"": ""MOT20"", ""dropout"": 0.15, ""epochs"": 180, ""eval_device"": ""cpu"", ""hard_negative_checkpoint"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_20260424_230311/train_gate/best.pt"", ""hard_negative_score_threshold"": 0.5, ""hard_negative_weight_multiplier"": 3.0, ""harmful_target"": 0.0, ""harmful_weight"": 1.25, ""hidden_dim"": 16, ""init_checkpoint"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_20260424_230311/train_gate/best.pt"", ""model_type"": ""dual_head"", ""neutral_target"": 0.25, ""neutral_weight"": 0.5, ""num_hidden_layers"": 3, ""positive_target"": 1.0, ""positive_weight_scale"": 0.25, ""reuse_dataset_dir"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_mot20rows_rankv2_20260427_141017/gate_dataset"", ""rows_jsonl"": [], ""seq_ids"": [2, 5], ""skip_eval"": true, ""source_manifest"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv"", ""split"": ""train"", ""split_part"": ""val_half"", ""train_device"": ""cpu"", ""val_patterns"": """"}"
