variant,policy,cap,selected,positive,negative,positive_precision,positive_sum,negative_mass,raw_utility_sum,worst_sequence_utility,robust_score,eligible,sequence_utility,held_out_seq
full_directional,consensus_safe,2,1,0,1,0.0,0.0,0.00954,-0.00954,-0.00954,-0.05724,0,"{""MOT20-02"": -0.009539999999987, ""MOT20-03"": 0.0, ""MOT20-05"": 0.0}",MOT20-01
full_directional,consensus_safe,3,1,0,1,0.0,0.0,0.00954,-0.00954,-0.00954,-0.05724,0,"{""MOT20-02"": -0.009539999999987, ""MOT20-03"": 0.0, ""MOT20-05"": 0.0}",MOT20-01
full_directional,prob_margin_25,1,3,2,1,0.666666666667,0.04061,0.002264,0.038346,-0.002264,0.027026,1,"{""MOT20-02"": 0.0405549999999976, ""MOT20-03"": 5.499999998903604e-05, ""MOT20-05"": -0.0022639999999967}",MOT20-01
full_directional,prob_margin_25,2,5,2,3,0.4,0.04061,0.011904,0.028706,-0.002264,-0.011534,0,"{""MOT20-02"": 0.0310150000000106, ""MOT20-03"": -4.500000001426396e-05, ""MOT20-05"": -0.0022639999999967}",MOT20-01
full_directional,prob_margin_25,3,6,2,4,0.333333333333,0.04061,0.060164,-0.019554,-0.017245,-0.234536,0,"{""MOT20-02"": -0.017244999999988398, ""MOT20-03"": -4.500000001426396e-05, ""MOT20-05"": -0.0022639999999967}",MOT20-01
full_directional,prob_margin_40,1,2,2,0,1.0,0.04061,-0.0,0.04061,0.0,0.04061,1,"{""MOT20-02"": 0.0405549999999976, ""MOT20-03"": 5.499999998903604e-05, ""MOT20-05"": 0.0}",MOT20-01
full_directional,prob_margin_40,2,4,2,2,0.5,0.04061,0.00964,0.03097,-4.5e-05,0.00196,0,"{""MOT20-02"": 0.0310150000000106, ""MOT20-03"": -4.500000001426396e-05, ""MOT20-05"": 0.0}",MOT20-01
full_directional,prob_margin_40,3,5,2,3,0.4,0.04061,0.0579,-0.01729,-0.017245,-0.22548,0,"{""MOT20-02"": -0.017244999999988398, ""MOT20-03"": -4.500000001426396e-05, ""MOT20-05"": 0.0}",MOT20-01
compact_directional,q25_positive,1,2,0,2,0.0,0.0,0.002364,-0.002364,-0.002264,-0.013984,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.0001000000000033, ""MOT20-05"": -0.0022639999999967}",MOT20-02
compact_directional,q25_positive,2,3,0,3,0.0,0.0,0.002988,-0.002988,-0.002264,-0.01648,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.0007240000000194, ""MOT20-05"": -0.0022639999999967}",MOT20-02
compact_directional,q25_positive,3,4,0,4,0.0,0.0,0.006078,-0.006078,-0.003814,-0.03194,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.0038140000000338, ""MOT20-05"": -0.0022639999999967}",MOT20-02
compact_directional,q25_p55,1,2,0,2,0.0,0.0,0.002364,-0.002364,-0.002264,-0.013984,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.0001000000000033, ""MOT20-05"": -0.0022639999999967}",MOT20-02
compact_directional,q25_p55,2,3,0,3,0.0,0.0,0.002988,-0.002988,-0.002264,-0.01648,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.0007240000000194, ""MOT20-05"": -0.0022639999999967}",MOT20-02
compact_directional,q25_p55,3,4,0,4,0.0,0.0,0.003938,-0.003938,-0.002264,-0.02028,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.0016740000000225, ""MOT20-05"": -0.0022639999999967}",MOT20-02
compact_directional,median_p60_cat10,1,2,0,2,0.0,0.0,0.002364,-0.002364,-0.002264,-0.013984,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.0001000000000033, ""MOT20-05"": -0.0022639999999967}",MOT20-02
compact_directional,median_p60_cat10,2,4,1,3,0.25,5.5e-05,0.002388,-0.002333,-0.002288,-0.014073,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -4.500000001426396e-05, ""MOT20-05"": -0.00228800000000716}",MOT20-02
compact_directional,median_p60_cat10,3,4,1,3,0.25,5.5e-05,0.002388,-0.002333,-0.002288,-0.014073,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -4.500000001426396e-05, ""MOT20-05"": -0.00228800000000716}",MOT20-02
compact_directional,consensus_safe,1,2,0,2,0.0,0.0,0.000124,-0.000124,-0.0001,-0.000696,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.0001000000000033, ""MOT20-05"": -2.40000000104601e-05}",MOT20-02
compact_directional,consensus_safe,2,3,1,2,0.333333333333,5.5e-05,0.000124,-6.9e-05,-4.5e-05,-0.000531,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -4.500000001426396e-05, ""MOT20-05"": -2.40000000104601e-05}",MOT20-02
compact_directional,consensus_safe,3,3,1,2,0.333333333333,5.5e-05,0.000124,-6.9e-05,-4.5e-05,-0.000531,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -4.500000001426396e-05, ""MOT20-05"": -2.40000000104601e-05}",MOT20-02
compact_directional,prob_margin_25,1,2,0,2,0.0,0.0,0.000124,-0.000124,-0.0001,-0.000696,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.0001000000000033, ""MOT20-05"": -2.40000000104601e-05}",MOT20-02
compact_directional,prob_margin_25,2,3,1,2,0.333333333333,5.5e-05,0.000124,-6.9e-05,-4.5e-05,-0.000531,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -4.500000001426396e-05, ""MOT20-05"": -2.40000000104601e-05}",MOT20-02
compact_directional,prob_margin_25,3,4,1,3,0.25,5.5e-05,0.000748,-0.000693,-0.000669,-0.004275,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.000669000000030364, ""MOT20-05"": -2.40000000104601e-05}",MOT20-02
compact_directional,prob_margin_40,1,1,0,1,0.0,0.0,0.0001,-0.0001,-0.0001,-0.0006,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.0001000000000033, ""MOT20-05"": 0.0}",MOT20-02
compact_directional,prob_margin_40,2,2,1,1,0.5,5.5e-05,0.0001,-4.5e-05,-4.5e-05,-0.000435,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -4.500000001426396e-05, ""MOT20-05"": 0.0}",MOT20-02
compact_directional,prob_margin_40,3,3,1,2,0.333333333333,5.5e-05,0.000724,-0.000669,-0.000669,-0.004179,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.000669000000030364, ""MOT20-05"": 0.0}",MOT20-02
full_directional,q25_positive,1,1,0,1,0.0,0.0,0.0001,-0.0001,-0.0001,-0.0006,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.0001000000000033, ""MOT20-05"": 0.0}",MOT20-02
full_directional,q25_positive,2,2,0,2,0.0,0.0,0.000724,-0.000724,-0.000724,-0.004344,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.0007240000000194, ""MOT20-05"": 0.0}",MOT20-02
full_directional,q25_positive,3,3,0,3,0.0,0.0,0.001674,-0.001674,-0.001674,-0.010044,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.0016740000000225, ""MOT20-05"": 0.0}",MOT20-02
full_directional,q25_p55,1,1,0,1,0.0,0.0,0.0001,-0.0001,-0.0001,-0.0006,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.0001000000000033, ""MOT20-05"": 0.0}",MOT20-02
full_directional,q25_p55,2,2,0,2,0.0,0.0,0.000724,-0.000724,-0.000724,-0.004344,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.0007240000000194, ""MOT20-05"": 0.0}",MOT20-02
full_directional,q25_p55,3,3,0,3,0.0,0.0,0.001674,-0.001674,-0.001674,-0.010044,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.0016740000000225, ""MOT20-05"": 0.0}",MOT20-02
full_directional,median_p60_cat10,1,1,1,0,1.0,5.5e-05,-0.0,5.5e-05,0.0,5.5e-05,1,"{""MOT20-01"": 0.0, ""MOT20-03"": 5.499999998903604e-05, ""MOT20-05"": 0.0}",MOT20-02
full_directional,median_p60_cat10,2,2,1,1,0.5,5.5e-05,0.0001,-4.5e-05,-4.5e-05,-0.000435,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -4.500000001426396e-05, ""MOT20-05"": 0.0}",MOT20-02
full_directional,median_p60_cat10,3,3,1,2,0.333333333333,5.5e-05,0.000724,-0.000669,-0.000669,-0.004179,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.000669000000030364, ""MOT20-05"": 0.0}",MOT20-02
full_directional,consensus_safe,1,1,1,0,1.0,5.5e-05,-0.0,5.5e-05,0.0,5.5e-05,1,"{""MOT20-01"": 0.0, ""MOT20-03"": 5.499999998903604e-05, ""MOT20-05"": 0.0}",MOT20-02
full_directional,consensus_safe,2,2,1,1,0.5,5.5e-05,0.0001,-4.5e-05,-4.5e-05,-0.000435,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -4.500000001426396e-05, ""MOT20-05"": 0.0}",MOT20-02
full_directional,consensus_safe,3,3,1,2,0.333333333333,5.5e-05,0.000724,-0.000669,-0.000669,-0.004179,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.000669000000030364, ""MOT20-05"": 0.0}",MOT20-02
full_directional,prob_margin_25,1,1,1,0,1.0,5.5e-05,-0.0,5.5e-05,0.0,5.5e-05,1,"{""MOT20-01"": 0.0, ""MOT20-03"": 5.499999998903604e-05, ""MOT20-05"": 0.0}",MOT20-02
full_directional,prob_margin_25,2,2,1,1,0.5,5.5e-05,0.0001,-4.5e-05,-4.5e-05,-0.000435,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -4.500000001426396e-05, ""MOT20-05"": 0.0}",MOT20-02
full_directional,prob_margin_25,3,3,1,2,0.333333333333,5.5e-05,0.000724,-0.000669,-0.000669,-0.004179,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.000669000000030364, ""MOT20-05"": 0.0}",MOT20-02
full_directional,prob_margin_40,1,1,1,0,1.0,5.5e-05,-0.0,5.5e-05,0.0,5.5e-05,1,"{""MOT20-01"": 0.0, ""MOT20-03"": 5.499999998903604e-05, ""MOT20-05"": 0.0}",MOT20-02
full_directional,prob_margin_40,2,2,1,1,0.5,5.5e-05,0.0001,-4.5e-05,-4.5e-05,-0.000435,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -4.500000001426396e-05, ""MOT20-05"": 0.0}",MOT20-02
full_directional,prob_margin_40,3,3,1,2,0.333333333333,5.5e-05,0.000724,-0.000669,-0.000669,-0.004179,0,"{""MOT20-01"": 0.0, ""MOT20-03"": -0.000669000000030364, ""MOT20-05"": 0.0}",MOT20-02
compact_directional,q25_positive,1,1,0,1,0.0,0.0,0.00954,-0.00954,-0.00954,-0.05724,0,"{""MOT20-01"": 0.0, ""MOT20-02"": -0.009539999999987, ""MOT20-05"": 0.0}",MOT20-03
compact_directional,q25_positive,2,2,1,1,0.5,0.000196,0.00954,-0.009344,-0.009344,-0.056652,0,"{""MOT20-01"": 0.0, ""MOT20-02"": -0.0093439999999845, ""MOT20-05"": 0.0}",MOT20-03
compact_directional,q25_positive,3,2,1,1,0.5,0.000196,0.00954,-0.009344,-0.009344,-0.056652,0,"{""MOT20-01"": 0.0, ""MOT20-02"": -0.0093439999999845, ""MOT20-05"": 0.0}",MOT20-03
compact_directional,q25_p55,1,1,0,1,0.0,0.0,0.00954,-0.00954,-0.00954,-0.05724,0,"{""MOT20-01"": 0.0, ""MOT20-02"": -0.009539999999987, ""MOT20-05"": 0.0}",MOT20-03
compact_directional,q25_p55,2,1,0,1,0.0,0.0,0.00954,-0.00954,-0.00954,-0.05724,0,"{""MOT20-01"": 0.0, ""MOT20-02"": -0.009539999999987, ""MOT20-05"": 0.0}",MOT20-03
compact_directional,q25_p55,3,1,0,1,0.0,0.0,0.00954,-0.00954,-0.00954,-0.05724,0,"{""MOT20-01"": 0.0, ""MOT20-02"": -0.009539999999987, ""MOT20-05"": 0.0}",MOT20-03
