arm,exp_name,config_path,checkpoint,host_variant,host_config_path,host_checkpoint,graph_mode,graph_checkpoint,graph_topk,graph_min_detections,graph_min_committed_matches,graph_max_detections,graph_max_tracks,out_dir,eligible_clusters,replaced_clusters,matched_dets,deferred_dets,blocked_tracks,skipped_large_clusters,HOTA,AssA,IDF1,MOTA,IDSW,status
host_only,v15_laplace_reid_da_val0213_proxy0213_host_only,/gemini/code/FMtrack-main/FM-Track/configs/experiments/bytetrack_fa_mot_mot17_v17_local_conflict_commit_hostv15_val0213.yaml,/gemini/code/FMtrack-main/FM-Track/outputs/paper_ctrl_mot17_val0213/bytetrack_fa_mot_mot17_v14_ctrl_base_reid_da_val0213/checkpoint_epoch_0.pth,v15_laplace_reid_da_val0213,/gemini/code/FMtrack-main/FM-Track/configs/experiments/bytetrack_fa_mot_mot17_v17_local_conflict_commit_hostv15_val0213.yaml,/gemini/code/FMtrack-main/FM-Track/outputs/paper_ctrl_mot17_val0213/bytetrack_fa_mot_mot17_v14_ctrl_base_reid_da_val0213/checkpoint_epoch_0.pth,disabled,,8,2,2,8,32,/gemini/code/FMtrack-main/FM-Track/outputs/local_conflict_graph_hostmig_v15_proxy0213_20260324_194915/00_host_only,0,0,0,0,0,0,53.069,44.392,59.099,73.752,684,ok
host_plus_learned_commit,local_conflict_graph_learned_commit_proxy0213,/gemini/code/FMtrack-main/FM-Track/configs/experiments/bytetrack_fa_mot_mot17_v17_local_conflict_commit_hostv15_val0213.yaml,/gemini/code/FMtrack-main/FM-Track/outputs/paper_ctrl_mot17_val0213/bytetrack_fa_mot_mot17_v14_ctrl_base_reid_da_val0213/checkpoint_epoch_0.pth,v15_laplace_reid_da_val0213,/gemini/code/FMtrack-main/FM-Track/configs/experiments/bytetrack_fa_mot_mot17_v17_local_conflict_commit_hostv15_val0213.yaml,/gemini/code/FMtrack-main/FM-Track/outputs/paper_ctrl_mot17_val0213/bytetrack_fa_mot_mot17_v14_ctrl_base_reid_da_val0213/checkpoint_epoch_0.pth,learned_commit,/gemini/code/FMtrack-main/FM-Track/outputs/local_conflict_graph_learned_commit_next12h_20260324_165558/01_stage1/best.pt,8,2,2,8,32,/gemini/code/FMtrack-main/FM-Track/outputs/local_conflict_graph_hostmig_v15_proxy0213_20260324_194915/01_host_plus_learned_commit,5769,138,278,15263,278,37,52.85,43.973,58.978,73.722,693,ok
