selected_windows,covered_sequences,positive_windows,negative_windows,zero_windows,positive_precision,positive_sum,negative_mass,utility_sum,worst_sequence_utility,sequence_utility,robust_score,eligible,outer_held_out_seq,ranker_name,family,target_scale,weight_scheme,gate_name
11,3,3,7,1,0.272727272727,0.012469,0.067795,-0.055326,-0.040599,"{""MOT20-02"": -0.012699999999980999, ""MOT20-03"": -0.04059900000004276, ""MOT20-05"": -0.002026999999998283}",-0.516098,0,MOT20-01,extra_norm_capped,extra,normalized,capped,changed_ge_2
9,3,3,6,0,0.333333333333,0.012469,0.067695,-0.055226,-0.040499,"{""MOT20-02"": -0.012699999999980999, ""MOT20-03"": -0.04049900000003946, ""MOT20-05"": -0.002026999999998283}",-0.515198,0,MOT20-01,extra_norm_capped,extra,normalized,capped,changed_ge_4
9,3,3,6,0,0.333333333333,0.012469,0.067695,-0.055226,-0.040499,"{""MOT20-02"": -0.012699999999980999, ""MOT20-03"": -0.04049900000003946, ""MOT20-05"": -0.002026999999998283}",-0.515198,0,MOT20-01,extra_norm_capped,extra,normalized,capped,changed_ge_8
9,3,3,6,0,0.333333333333,0.012469,0.067695,-0.055226,-0.040499,"{""MOT20-02"": -0.012699999999980999, ""MOT20-03"": -0.04049900000003946, ""MOT20-05"": -0.002026999999998283}",-0.515198,0,MOT20-01,extra_norm_capped,extra,normalized,capped,changed_ge_12
12,3,4,7,1,0.333333333333,0.012665,0.067795,-0.05513,-0.040599,"{""MOT20-02"": -0.0125039999999785, ""MOT20-03"": -0.04059900000004276, ""MOT20-05"": -0.002026999999998283}",-0.515902,0,MOT20-01,extra_norm_capped,extra,normalized,capped,impact_receiver_le_080
9,3,3,6,0,0.333333333333,0.012469,0.067695,-0.055226,-0.040499,"{""MOT20-02"": -0.012699999999980999, ""MOT20-03"": -0.04049900000003946, ""MOT20-05"": -0.002026999999998283}",-0.515198,0,MOT20-01,extra_norm_capped,extra,normalized,capped,changed_ge_4_impact_receiver_le_080
8,3,2,6,0,0.25,0.012414,0.067695,-0.055281,-0.040554,"{""MOT20-02"": -0.012699999999980999, ""MOT20-03"": -0.0405540000000285, ""MOT20-05"": -0.002026999999998283}",-0.515418,0,MOT20-01,extra_norm_capped,extra,normalized,capped,changed_ge_4_impact_pair_le_050
7,3,2,5,0,0.285714285714,0.000376,0.052442,-0.052066,-0.040499,"{""MOT20-02"": -0.009539999999987, ""MOT20-03"": -0.04049900000003946, ""MOT20-05"": -0.002026999999998283}",-0.435773,0,MOT20-01,extra_norm_capped,extra,normalized,capped,changed_ge_4_margin_ge_002
9,3,3,6,0,0.333333333333,0.012469,0.067695,-0.055226,-0.040499,"{""MOT20-02"": -0.012699999999980999, ""MOT20-03"": -0.04049900000003946, ""MOT20-05"": -0.002026999999998283}",-0.515198,0,MOT20-01,extra_norm_capped,extra,normalized,capped,changed_ge_4_score_ge_070
12,3,3,8,1,0.25,0.000572,0.068645,-0.068073,-0.040599,"{""MOT20-02"": -0.0254469999999712, ""MOT20-03"": -0.04059900000004276, ""MOT20-05"": -0.002026999999998283}",-0.533095,0,MOT20-01,extra_norm_tail,extra,normalized,tail,all
11,3,2,8,1,0.181818181818,0.000376,0.068645,-0.068269,-0.040599,"{""MOT20-02"": -0.0256429999999737, ""MOT20-03"": -0.04059900000004276, ""MOT20-05"": -0.002026999999998283}",-0.533291,0,MOT20-01,extra_norm_tail,extra,normalized,tail,changed_ge_2
8,3,2,6,0,0.25,0.000376,0.067695,-0.067319,-0.040499,"{""MOT20-02"": -0.0247929999999882, ""MOT20-03"": -0.04049900000003946, ""MOT20-05"": -0.002026999999998283}",-0.527291,0,MOT20-01,extra_norm_tail,extra,normalized,tail,changed_ge_4
8,3,2,6,0,0.25,0.000376,0.067695,-0.067319,-0.040499,"{""MOT20-02"": -0.0247929999999882, ""MOT20-03"": -0.04049900000003946, ""MOT20-05"": -0.002026999999998283}",-0.527291,0,MOT20-01,extra_norm_tail,extra,normalized,tail,changed_ge_8
8,3,2,6,0,0.25,0.000376,0.067695,-0.067319,-0.040499,"{""MOT20-02"": -0.0247929999999882, ""MOT20-03"": -0.04049900000003946, ""MOT20-05"": -0.002026999999998283}",-0.527291,0,MOT20-01,extra_norm_tail,extra,normalized,tail,changed_ge_12
12,3,3,8,1,0.25,0.000572,0.068645,-0.068073,-0.040599,"{""MOT20-02"": -0.0254469999999712, ""MOT20-03"": -0.04059900000004276, ""MOT20-05"": -0.002026999999998283}",-0.533095,0,MOT20-01,extra_norm_tail,extra,normalized,tail,impact_receiver_le_080
8,3,2,6,0,0.25,0.000376,0.067695,-0.067319,-0.040499,"{""MOT20-02"": -0.0247929999999882, ""MOT20-03"": -0.04049900000003946, ""MOT20-05"": -0.002026999999998283}",-0.527291,0,MOT20-01,extra_norm_tail,extra,normalized,tail,changed_ge_4_impact_receiver_le_080
7,3,1,6,0,0.142857142857,0.000321,0.067695,-0.067374,-0.040554,"{""MOT20-02"": -0.0247929999999882, ""MOT20-03"": -0.0405540000000285, ""MOT20-05"": -0.002026999999998283}",-0.527511,0,MOT20-01,extra_norm_tail,extra,normalized,tail,changed_ge_4_impact_pair_le_050
6,3,2,4,0,0.333333333333,0.000376,0.052098,-0.051722,-0.040155,"{""MOT20-02"": -0.009539999999987, ""MOT20-03"": -0.04015500000002696, ""MOT20-05"": -0.002026999999998283}",-0.432677,0,MOT20-01,extra_norm_tail,extra,normalized,tail,changed_ge_4_margin_ge_002
8,3,2,6,0,0.25,0.000376,0.067695,-0.067319,-0.040499,"{""MOT20-02"": -0.0247929999999882, ""MOT20-03"": -0.04049900000003946, ""MOT20-05"": -0.002026999999998283}",-0.527291,0,MOT20-01,extra_norm_tail,extra,normalized,tail,changed_ge_4_score_ge_070
12,3,4,7,1,0.333333333333,0.020554,0.020623,-6.9e-05,-0.004625,"{""MOT20-02"": 0.0058950000000094, ""MOT20-03"": -0.0013390000000298638, ""MOT20-05"": -0.004625000000004284}",-0.117059,0,MOT20-01,hist_raw_capped,hist,raw,capped,all
11,3,3,7,1,0.272727272727,0.020358,0.020623,-0.000265,-0.004625,"{""MOT20-02"": 0.0056990000000069, ""MOT20-03"": -0.0013390000000298638, ""MOT20-05"": -0.004625000000004284}",-0.117255,0,MOT20-01,hist_raw_capped,hist,raw,capped,changed_ge_2
9,3,3,6,0,0.333333333333,0.020358,0.020523,-0.000165,-0.004625,"{""MOT20-02"": 0.0056990000000069, ""MOT20-03"": -0.001239000000026564, ""MOT20-05"": -0.004625000000004284}",-0.116655,0,MOT20-01,hist_raw_capped,hist,raw,capped,changed_ge_4
9,3,3,6,0,0.333333333333,0.020358,0.020523,-0.000165,-0.004625,"{""MOT20-02"": 0.0056990000000069, ""MOT20-03"": -0.001239000000026564, ""MOT20-05"": -0.004625000000004284}",-0.116655,0,MOT20-01,hist_raw_capped,hist,raw,capped,changed_ge_8
8,3,3,5,0,0.375,0.020358,0.019573,0.000785,-0.004625,"{""MOT20-02"": 0.0056990000000069, ""MOT20-03"": -0.00028900000002346396, ""MOT20-05"": -0.004625000000004284}",-0.110955,0,MOT20-01,hist_raw_capped,hist,raw,capped,changed_ge_12
12,3,4,7,1,0.333333333333,0.020554,0.020623,-6.9e-05,-0.004625,"{""MOT20-02"": 0.0058950000000094, ""MOT20-03"": -0.0013390000000298638, ""MOT20-05"": -0.004625000000004284}",-0.117059,0,MOT20-01,hist_raw_capped,hist,raw,capped,impact_receiver_le_080
9,3,3,6,0,0.333333333333,0.020358,0.020523,-0.000165,-0.004625,"{""MOT20-02"": 0.0056990000000069, ""MOT20-03"": -0.001239000000026564, ""MOT20-05"": -0.004625000000004284}",-0.116655,0,MOT20-01,hist_raw_capped,hist,raw,capped,changed_ge_4_impact_receiver_le_080
7,3,2,5,0,0.285714285714,0.020303,0.018246,0.002057,-0.002348,"{""MOT20-02"": 0.0056990000000069, ""MOT20-03"": -0.0012940000000156, ""MOT20-05"": -0.0023479999999977833}",-0.096217,0,MOT20-01,hist_raw_capped,hist,raw,capped,changed_ge_4_impact_pair_le_050
7,3,3,4,0,0.428571428571,0.020358,0.003642,0.016716,-0.002348,"{""MOT20-02"": 0.0203030000000125, ""MOT20-03"": -0.001239000000026564, ""MOT20-05"": -0.0023479999999977833}",-0.008538,0,MOT20-01,hist_raw_capped,hist,raw,capped,changed_ge_4_margin_ge_002
9,3,3,6,0,0.333333333333,0.020358,0.020523,-0.000165,-0.004625,"{""MOT20-02"": 0.0056990000000069, ""MOT20-03"": -0.001239000000026564, ""MOT20-05"": -0.004625000000004284}",-0.116655,0,MOT20-01,hist_raw_capped,hist,raw,capped,changed_ge_4_score_ge_070
12,3,5,6,1,0.416666666667,0.020875,0.018346,0.002529,-0.002027,"{""MOT20-02"": 0.0058950000000094, ""MOT20-03"": -0.0013390000000298638, ""MOT20-05"": -0.002026999999998283}",-0.095282,0,MOT20-01,hist_raw_tail,hist,raw,tail,all
11,3,4,6,1,0.363636363636,0.020679,0.018346,0.002333,-0.002027,"{""MOT20-02"": 0.0056990000000069, ""MOT20-03"": -0.0013390000000298638, ""MOT20-05"": -0.002026999999998283}",-0.095478,0,MOT20-01,hist_raw_tail,hist,raw,tail,changed_ge_2
9,3,4,5,0,0.444444444444,0.020679,0.018246,0.002433,-0.002027,"{""MOT20-02"": 0.0056990000000069, ""MOT20-03"": -0.001239000000026564, ""MOT20-05"": -0.002026999999998283}",-0.094878,0,MOT20-01,hist_raw_tail,hist,raw,tail,changed_ge_4
9,3,4,5,0,0.444444444444,0.020679,0.018246,0.002433,-0.002027,"{""MOT20-02"": 0.0056990000000069, ""MOT20-03"": -0.001239000000026564, ""MOT20-05"": -0.002026999999998283}",-0.094878,0,MOT20-01,hist_raw_tail,hist,raw,tail,changed_ge_8
8,3,4,4,0,0.5,0.020679,0.017296,0.003383,-0.002027,"{""MOT20-02"": 0.0056990000000069, ""MOT20-03"": -0.00028900000002346396, ""MOT20-05"": -0.002026999999998283}",-0.089178,0,MOT20-01,hist_raw_tail,hist,raw,tail,changed_ge_12
12,3,5,6,1,0.416666666667,0.020875,0.018346,0.002529,-0.002027,"{""MOT20-02"": 0.0058950000000094, ""MOT20-03"": -0.0013390000000298638, ""MOT20-05"": -0.002026999999998283}",-0.095282,0,MOT20-01,hist_raw_tail,hist,raw,tail,impact_receiver_le_080
9,3,4,5,0,0.444444444444,0.020679,0.018246,0.002433,-0.002027,"{""MOT20-02"": 0.0056990000000069, ""MOT20-03"": -0.001239000000026564, ""MOT20-05"": -0.002026999999998283}",-0.094878,0,MOT20-01,hist_raw_tail,hist,raw,tail,changed_ge_4_impact_receiver_le_080
8,3,3,5,0,0.375,0.020624,0.018246,0.002378,-0.002027,"{""MOT20-02"": 0.0056990000000069, ""MOT20-03"": -0.0012940000000156, ""MOT20-05"": -0.002026999999998283}",-0.094933,0,MOT20-01,hist_raw_tail,hist,raw,tail,changed_ge_4_impact_pair_le_050
8,3,4,4,0,0.5,0.020679,0.003642,0.017037,-0.002027,"{""MOT20-02"": 0.0203030000000125, ""MOT20-03"": -0.001239000000026564, ""MOT20-05"": -0.002026999999998283}",-0.007254,0,MOT20-01,hist_raw_tail,hist,raw,tail,changed_ge_4_margin_ge_002
9,3,4,5,0,0.444444444444,0.020679,0.018246,0.002433,-0.002027,"{""MOT20-02"": 0.0056990000000069, ""MOT20-03"": -0.001239000000026564, ""MOT20-05"": -0.002026999999998283}",-0.094878,0,MOT20-01,hist_raw_tail,hist,raw,tail,changed_ge_4_score_ge_070
12,3,4,7,1,0.333333333333,0.020554,0.059883,-0.039329,-0.040599,"{""MOT20-02"": 0.0058950000000094, ""MOT20-03"": -0.04059900000004276, ""MOT20-05"": -0.004625000000004284}",-0.460541,0,MOT20-01,hist_norm_capped,hist,normalized,capped,all
