mode,features,spearman_local,spearman_hota,auc_hota_from_local,auc_hota_classifier
existing,90,0.417656047661,0.476386167663,0.641007532957,0.597575329567
motion,36,0.315257859124,0.346655301322,0.610404896422,0.497528248588
expanded,126,0.495464296674,0.548914322841,0.699387947269,0.60922787194
