threshold,topk,fallback_rule,hota_sum,hota_positive_windows,hota_negative_windows,hota_worst_sequence,hota_catastrophic_windows,local_sum,local_positive_windows,local_negative_windows,local_worst_sequence,fallbacks,abstains,mot20_01_hota,mot20_02_hota,mot20_03_hota,mot20_05_hota
0.3,5,max_motion_q25,0.557614,8,6,-0.027367,0,0.335033587523,5,3,-0.035279805353,1,1,0.570522,-0.027367,-0.004005,0.018464
0.3,5,lexicographic_min_q25,0.557614,8,6,-0.027367,0,0.335033587523,5,3,-0.035279805353,1,1,0.570522,-0.027367,-0.004005,0.018464
0.35,2,max_motion_min,0.114673,7,6,-0.027367,0,0.026034551392,5,3,-0.035279805353,2,2,0.127581,-0.027367,-0.004005,0.018464
0.35,2,max_motion_q25,0.114673,7,6,-0.027367,0,0.026034551392,5,3,-0.035279805353,2,2,0.127581,-0.027367,-0.004005,0.018464
0.35,2,lexicographic_min_q25,0.114673,7,6,-0.027367,0,0.026034551392,5,3,-0.035279805353,2,2,0.127581,-0.027367,-0.004005,0.018464
0.35,3,max_motion_min,-0.17247,7,7,-0.159562,1,-0.187685765231,5,4,-0.189839719609,3,1,-0.159562,-0.027367,-0.004005,0.018464
0.35,3,max_motion_q25,-0.17247,7,7,-0.159562,1,-0.187685765231,5,4,-0.189839719609,3,1,-0.159562,-0.027367,-0.004005,0.018464
0.35,3,lexicographic_min_q25,-0.17247,7,7,-0.159562,1,-0.187685765231,5,4,-0.189839719609,3,1,-0.159562,-0.027367,-0.004005,0.018464
0.35,5,max_motion_min,-0.17247,7,7,-0.159562,1,-0.187685765231,5,4,-0.189839719609,3,1,-0.159562,-0.027367,-0.004005,0.018464
0.35,5,max_motion_q25,-0.17247,7,7,-0.159562,1,-0.187685765231,5,4,-0.189839719609,3,1,-0.159562,-0.027367,-0.004005,0.018464
0.35,5,lexicographic_min_q25,-0.17247,7,7,-0.159562,1,-0.187685765231,5,4,-0.189839719609,3,1,-0.159562,-0.027367,-0.004005,0.018464
0.4,2,max_motion_min,0.12821,6,5,-0.004005,0,0.381440517824,6,2,-0.035279805353,3,4,0.080714,0.033037,-0.004005,0.018464
0.4,2,max_motion_q25,0.12821,6,5,-0.004005,0,0.381440517824,6,2,-0.035279805353,3,4,0.080714,0.033037,-0.004005,0.018464
0.4,2,lexicographic_min_q25,0.12821,6,5,-0.004005,0,0.381440517824,6,2,-0.035279805353,3,4,0.080714,0.033037,-0.004005,0.018464
0.4,3,max_motion_min,-0.686996,6,7,-0.734492,2,-0.066583014725,6,4,-0.424142935535,5,2,-0.734492,0.033037,-0.004005,0.018464
0.4,3,max_motion_q25,-0.686996,6,7,-0.734492,2,-0.066583014725,6,4,-0.424142935535,5,2,-0.734492,0.033037,-0.004005,0.018464
0.4,3,lexicographic_min_q25,-0.686996,6,7,-0.734492,2,-0.066583014725,6,4,-0.424142935535,5,2,-0.734492,0.033037,-0.004005,0.018464
0.4,5,max_motion_min,-0.702249,6,8,-0.734492,2,-0.083486327774,6,5,-0.424142935535,6,1,-0.734492,0.017784,-0.004005,0.018464
0.4,5,max_motion_q25,-0.702249,6,8,-0.734492,2,-0.083486327774,6,5,-0.424142935535,6,1,-0.734492,0.017784,-0.004005,0.018464
0.4,5,lexicographic_min_q25,-0.702249,6,8,-0.734492,2,-0.083486327774,6,5,-0.424142935535,6,1,-0.734492,0.017784,-0.004005,0.018464
