seq,HOTA,MOTA,IDF1,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,CLR_Re,CLR_Pr,CLR_FN,CLR_FP,IDSW,MT,ML,Frag,CLR_Frames
MOT17-01-DPM,0.476108,0.529302,0.562084,0.48753,0.466377,0.570241,0.69925,0.499075,0.79894,0.842109,0.675349,0.828137,2094,904,38,10,4,123.0,450
MOT17-01-FRCNN,0.476108,0.529302,0.562084,0.48753,0.466377,0.570241,0.69925,0.499075,0.79894,0.842109,0.675349,0.828137,2094,904,38,10,4,123.0,450
MOT17-01-SDP,0.476108,0.529302,0.562084,0.48753,0.466377,0.570241,0.69925,0.499075,0.79894,0.842109,0.675349,0.828137,2094,904,38,10,4,123.0,450
MOT17-03-DPM,0.655184,0.750714,0.820374,0.652995,0.660841,0.737135,0.740943,0.727982,0.774799,0.813731,0.873208,0.877719,13272,12734,88,116,12,534.0,1500
MOT17-03-FRCNN,0.655184,0.750714,0.820374,0.652995,0.660841,0.737135,0.740943,0.727982,0.774799,0.813731,0.873208,0.877719,13272,12734,88,116,12,534.0,1500
MOT17-03-SDP,0.655184,0.750714,0.820374,0.652995,0.660841,0.737135,0.740943,0.727982,0.774799,0.813731,0.873208,0.877719,13272,12734,88,116,12,534.0,1500
MOT17-06-DPM,0.494377,0.589443,0.617587,0.528514,0.465959,0.629355,0.679523,0.578137,0.649948,0.819325,0.773082,0.834708,2674,1804,360,119,26,335.0,1194
MOT17-06-FRCNN,0.494377,0.589443,0.617587,0.528514,0.465959,0.629355,0.679523,0.578137,0.649948,0.819325,0.773082,0.834708,2674,1804,360,119,26,335.0,1194
MOT17-06-SDP,0.494377,0.589443,0.617587,0.528514,0.465959,0.629355,0.679523,0.578137,0.649948,0.819325,0.773082,0.834708,2674,1804,360,119,26,335.0,1194
MOT17-07-DPM,0.476206,0.676434,0.544525,0.570239,0.399486,0.642786,0.743433,0.441571,0.721528,0.833096,0.775232,0.896618,3797,1510,159,27,3,331.0,500
MOT17-07-FRCNN,0.476206,0.676434,0.544525,0.570239,0.399486,0.642786,0.743433,0.441571,0.721528,0.833096,0.775232,0.896618,3797,1510,159,27,3,331.0,500
MOT17-07-SDP,0.476206,0.676434,0.544525,0.570239,0.399486,0.642786,0.743433,0.441571,0.721528,0.833096,0.775232,0.896618,3797,1510,159,27,3,331.0,500
MOT17-08-DPM,0.446118,0.586915,0.530352,0.510758,0.39625,0.569113,0.737362,0.459656,0.656417,0.823189,0.685334,0.887942,6647,1827,252,31,6,527.0,625
MOT17-08-FRCNN,0.446118,0.586915,0.530352,0.510758,0.39625,0.569113,0.737362,0.459656,0.656417,0.823189,0.685334,0.887942,6647,1827,252,31,6,527.0,625
MOT17-08-SDP,0.446118,0.586915,0.530352,0.510758,0.39625,0.569113,0.737362,0.459656,0.656417,0.823189,0.685334,0.887942,6647,1827,252,31,6,527.0,625
MOT17-12-DPM,0.527285,0.547364,0.622597,0.508846,0.548913,0.585627,0.726128,0.639564,0.735913,0.846233,0.680282,0.843491,2771,1094,58,38,22,211.0,900
MOT17-12-FRCNN,0.527285,0.547364,0.622597,0.508846,0.548913,0.585627,0.726128,0.639564,0.735913,0.846233,0.680282,0.843491,2771,1094,58,38,22,211.0,900
MOT17-12-SDP,0.527285,0.547364,0.622597,0.508846,0.548913,0.585627,0.726128,0.639564,0.735913,0.846233,0.680282,0.843491,2771,1094,58,38,22,211.0,900
MOT17-14-DPM,0.491039,0.572797,0.662018,0.491707,0.494443,0.540784,0.740668,0.527829,0.765847,0.822498,0.66434,0.909893,6204,1216,476,49,17,487.0,750
MOT17-14-FRCNN,0.491039,0.572797,0.662018,0.491707,0.494443,0.540784,0.740668,0.527829,0.765847,0.822498,0.66434,0.909893,6204,1216,476,49,17,487.0,750
MOT17-14-SDP,0.491039,0.572797,0.662018,0.491707,0.494443,0.540784,0.740668,0.527829,0.765847,0.822498,0.66434,0.909893,6204,1216,476,49,17,487.0,750
COMBINED,0.58449,0.681092,0.722171,0.593176,0.579153,0.671034,0.735009,0.643686,0.750816,0.819357,0.800831,0.87718,112377,63267,4293,1170,270,7644.0,17757
