seq,split_tag,frames_with_eligible_clusters,eligible_clusters,oversized_components,recovered_large_components,mined_large_subclusters,mined_component_clusters,detections,tracks,edges,trigger_pass_clusters,committed_matches,cluster_should_intervene_clusters,cluster_utility_gain,cluster_edit_gain,cluster_edit_cost,cluster_edit_utility_gain,cluster_should_intervene_soft_clusters,cluster_soft_utility_gain,cluster_should_intervene_sparse_clusters,cluster_sparse_utility_gain,cluster_should_intervene_bridge_clusters,cluster_bridge_utility_gain,bridge_committed_matches,bridge_rows,bridge_candidates,large_component_clusters,host_equals_oracle_clusters,host_runtime_equals_oracle_clusters,host_committed_matches,host_runtime_committed_matches,oracle_committed_matches,delta_committed_matches,edit_committed_matches,rescue_committed_matches,hard_delta_committed_matches,soft_rescue_committed_matches,sparse_edit_committed_matches,edit_rows,rescue_rows,sparse_edit_rows,add_commit_rows,reassign_rows,force_defer_rows,hard_delta_rows,soft_rescue_rows,rescue_force_defer_rows,sparse_add_rows,sparse_reassign_free_rows,sparse_blocked_reassign_rows
MOT20-01,train,14,16,0,0,0,0,37,50,97,12,12,12,10.100000000000001,3.5,0.2,3.3,12,15.0,12,15.0,12,10.100000000000001,12,12,15,0,12,3,21,3,17,1,1,15,15,0,15,6,15,15,1,0,5,15,0,1,15,0,0
MOT20-02,train,171,173,0,0,0,0,421,579,1026,127,127,127,103.09999999999977,24.0,0.8,23.2,127,159.0,127,159.0,127,103.09999999999977,127,127,159,0,132,45,244,49,206,4,4,159,159,0,159,44,159,159,2,2,40,159,0,2,159,0,0
MOT20-03,train,19,19,0,0,0,0,43,56,91,13,13,13,10.4,3.0,0.0,3.0,13,15.0,13,15.0,13,10.4,13,13,15,0,13,6,27,6,21,0,0,15,15,0,15,6,15,15,0,0,6,15,0,0,15,0,0
MOT20-05,val,111,117,0,0,0,0,252,357,571,75,75,75,59.999999999999915,15.5,0.2,15.3,75,86.0,75,86.0,75,59.999999999999915,75,75,86,0,88,42,157,43,129,1,1,86,86,0,86,30,86,86,1,0,29,86,0,0,86,0,0
