arm,run_dir,exp_name,protocol_tag,official_exp_file,official_checkpoint,official_experiment_name,host_variant,tracker_mode,graph_checkpoint,graph_topk,graph_min_detections,graph_min_committed_matches,graph_max_detections,graph_max_tracks,graph_cluster_gate_thresh,graph_cluster_gate_temp,graph_cluster_gate_bias,graph_max_commits_per_cluster,graph_replacement_budget_ratio,graph_max_replaced_clusters,graph_min_commit_margin,seed,track_thresh,track_buffer,match_thresh,min_box_area,results_dir,eval_dir,log_path,eligible_clusters,replaced_clusters,host_same_commit_clusters,delta_replaced_clusters,matched_dets,delta_commit_pairs,delta_drop_pairs,deferred_dets,blocked_tracks,gate_pass_clusters,gate_filtered_clusters,trigger_filtered_clusters,skipped_large_clusters,budget_filtered_clusters,margin_filtered_pairs,capped_commit_pairs,all_defer_clusters,empty_pair_candidate_clusters,post_filter_empty_clusters,HOTA,AssA,IDF1,MOTA,IDSW,status,error
00_host_only,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_largecover_gateedit_pair_v1_deltadiag_20260326_223500/00_host_only,official_bytetrack_largecover_gateedit_pair_v1_deltadiag,official_bytetrack_mot17_trainhalf_gateedit_valhalf_pair_deltadiag_seed42,/gemini/code/FMtrack-main/FM-Track/third_party/ByteTrack/exps/example/mot/yolox_x_mix_det_valhalf.py,/gemini/code/FMtrack-main/FM-Track/weight/bytetrack_x_mot17.pth.tar,official_bytetrack_largecover_gateedit_pair_v1_deltadiag_shared_detection_pair,official_bytetrack,host_only,,,,,,,,,,,,,,42,0.6,30,0.9,100.0,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_largecover_gateedit_pair_v1_deltadiag_20260326_223500/00_host_only/track_results,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_largecover_gateedit_pair_v1_deltadiag_20260326_223500/00_host_only/trackeval/eval/00_host_only,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_largecover_gateedit_pair_v1_deltadiag_20260326_223500/shared_pair_core.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.594,76.534,86.235,90.186,183,success,
01_host_plus_plugin,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_largecover_gateedit_pair_v1_deltadiag_20260326_223500/01_host_plus_plugin,official_bytetrack_largecover_gateedit_pair_v1_deltadiag,official_bytetrack_mot17_trainhalf_gateedit_valhalf_pair_deltadiag_seed42,/gemini/code/FMtrack-main/FM-Track/third_party/ByteTrack/exps/example/mot/yolox_x_mix_det_valhalf.py,/gemini/code/FMtrack-main/FM-Track/weight/bytetrack_x_mot17.pth.tar,official_bytetrack_largecover_gateedit_pair_v1_deltadiag_shared_detection_pair,official_bytetrack,host_plus_plugin,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_largecover_gateedit_stage1_v1_20260326_200641/01_stage1/best.pt,8,2,1,8,32,0.6600000262260437,0.4885532259941101,4.397577285766602,1,0.05,0,0.05,42,0.6,30,0.9,100.0,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_largecover_gateedit_pair_v1_deltadiag_20260326_223500/01_host_plus_plugin/track_results,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_largecover_gateedit_pair_v1_deltadiag_20260326_223500/01_host_plus_plugin/trackeval/eval/01_host_plus_plugin,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_largecover_gateedit_pair_v1_deltadiag_20260326_223500/shared_pair_core.log,7015,1037,24,1013,1037,2,2042,22259,1037,2921,4094,1477,1012,407,632,1579,1300,0,177,77.599,76.545,86.262,90.186,183,success,
