seq,split_tag,frames_with_eligible_clusters,eligible_clusters,oversized_components,recovered_large_components,mined_large_subclusters,mined_component_clusters,detections,tracks,edges,trigger_pass_clusters,committed_matches,cluster_should_intervene_clusters,cluster_utility_gain,cluster_edit_gain,cluster_edit_cost,cluster_edit_utility_gain,cluster_should_intervene_soft_clusters,cluster_soft_utility_gain,cluster_should_intervene_sparse_clusters,cluster_sparse_utility_gain,cluster_should_intervene_bridge_clusters,cluster_bridge_utility_gain,bridge_committed_matches,bridge_rows,bridge_candidates,large_component_clusters,host_equals_oracle_clusters,host_runtime_equals_oracle_clusters,host_committed_matches,host_runtime_committed_matches,oracle_committed_matches,delta_committed_matches,edit_committed_matches,rescue_committed_matches,hard_delta_committed_matches,soft_rescue_committed_matches,sparse_edit_committed_matches,edit_rows,rescue_rows,sparse_edit_rows,add_commit_rows,reassign_rows,force_defer_rows,hard_delta_rows,soft_rescue_rows,rescue_force_defer_rows,sparse_add_rows,sparse_reassign_free_rows,sparse_blocked_reassign_rows
MOT20-01,train,14,16,0,0,0,0,37,50,97,3,6,3,6.0,9.0,0.2,8.8,3,6.0,3,6.0,3,2.6500000000000004,3,3,6,0,3,10,21,3,6,1,1,6,6,0,6,17,6,6,1,0,16,6,0,3,6,0,0
MOT20-02,train,171,173,0,0,0,0,421,579,1026,30,79,30,79.0,74.0,0.4,73.6,30,79.0,30,79.0,47,38.35,47,47,79,0,48,98,244,49,100,2,2,79,79,0,79,146,79,79,0,2,144,79,0,28,79,0,0
MOT20-03,train,19,19,0,0,0,0,43,56,91,2,5,2,5.0,10.5,0.0,10.5,2,5.0,2,5.0,3,2.4000000000000004,3,3,5,0,3,11,27,6,6,0,0,5,5,0,5,21,5,5,0,0,21,5,0,5,5,0,0
MOT20-05,val,111,117,0,0,0,0,252,357,571,11,32,11,32.0,59.0,0.2,58.8,11,32.0,11,32.0,21,16.800000000000004,21,21,32,0,22,63,157,43,42,1,1,32,32,0,32,117,32,32,1,0,116,32,0,33,32,0,0
