seq,clusters,groups,recoverable_groups,bridge_groups,multi_detection_clusters,multi_track_clusters,groups_per_cluster,recoverable_rate_per_group,bridge_rate_per_group,recoverable_groups_per_cluster,bridge_groups_per_cluster
MOT17-02-FRCNN,601,18274,798,484,601,601,30.405990016638935,0.0436686001970012,0.026485717412717522,1.3277870216306156,0.8053244592346089
MOT17-13-FRCNN,749,11045,3953,267,747,749,14.746328437917223,0.35789950203712084,0.024173834314169307,5.277703604806408,0.35647530040053405
