model_name,events,positive_events,positive_fraction,spearman,positive_auc,positive_average_precision
geometry_positive,11705,1050,0.089705254165,0.003642949269,0.845246095059,0.276505391758
geometry_utility,11705,1050,0.089705254165,0.673479981514,0.499531541195,0.083500431583
motion_multitask,11705,1050,0.089705254165,0.083582183215,0.53658680253,0.125215379431
