arm,run_dir,exp_name,protocol_tag,official_exp_file,official_checkpoint,official_experiment_name,host_variant,plugin_mode,tracker_mode,graph_checkpoint,graph_topk,graph_min_detections,graph_min_committed_matches,graph_max_detections,graph_max_tracks,graph_cluster_gate_thresh,graph_cluster_gate_temp,graph_cluster_gate_bias,graph_max_commits_per_cluster,graph_replacement_budget_ratio,graph_max_replaced_clusters,graph_min_commit_margin,posthost_oracle_min_iou,posthost_hierarchical_keep_thresh,posthost_hierarchical_swap_thresh,posthost_hierarchical_candidate_min_refined_score,posthost_hierarchical_host_summary_prior_alpha,seed,track_thresh,track_buffer,match_thresh,min_box_area,results_dir,eval_dir,log_path,eligible_clusters,replaced_clusters,host_same_commit_clusters,delta_replaced_clusters,matched_dets,delta_commit_pairs,delta_drop_pairs,deferred_dets,blocked_tracks,gate_pass_clusters,gate_filtered_clusters,trigger_filtered_clusters,skipped_large_clusters,budget_filtered_clusters,margin_filtered_pairs,capped_commit_pairs,all_defer_clusters,empty_pair_candidate_clusters,post_filter_empty_clusters,posthost_selected_clusters,posthost_swap_clusters,posthost_add_clusters,posthost_defer_clusters,HOTA,AssA,IDF1,MOTA,IDSW,status,error
00_host_only,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_posthost_one_edit_hierarchical_runtime_safe_zero_halfval_smoke_20260328_013900/00_host_only,official_bytetrack_local_conflict_halfval_pair,official_bytetrack_x_mot17_valhalf_pair,/gemini/code/FMtrack-main/FM-Track/third_party/ByteTrack/exps/example/mot/yolox_x_mix_det_valhalf.py,/gemini/code/FMtrack-main/FM-Track/weight/bytetrack_x_mot17.pth.tar,official_bytetrack_local_conflict_halfval_pair_shared_detection_pair,official_bytetrack_x_mot17_valhalf,,host_only,,,,,,,,,,,,,,,,,,,42,0.6,30,0.9,100.0,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_posthost_one_edit_hierarchical_runtime_safe_zero_halfval_smoke_20260328_013900/00_host_only/track_results,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_posthost_one_edit_hierarchical_runtime_safe_zero_halfval_smoke_20260328_013900/00_host_only/trackeval/eval/00_host_only,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_posthost_one_edit_hierarchical_runtime_safe_zero_halfval_smoke_20260328_013900/shared_pair_core.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.594,76.534,86.235,90.186,183,success,
01_host_plus_plugin,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_posthost_one_edit_hierarchical_runtime_safe_zero_halfval_smoke_20260328_013900/01_host_plus_plugin,official_bytetrack_local_conflict_halfval_pair,official_bytetrack_x_mot17_valhalf_pair,/gemini/code/FMtrack-main/FM-Track/third_party/ByteTrack/exps/example/mot/yolox_x_mix_det_valhalf.py,/gemini/code/FMtrack-main/FM-Track/weight/bytetrack_x_mot17.pth.tar,official_bytetrack_local_conflict_halfval_pair_shared_detection_pair,official_bytetrack_x_mot17_valhalf,posthost_one_edit_hierarchical,host_plus_plugin,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_posthost_one_edit_hierarchical_runtime_safe_zero_20260328_013610/best.pt,8,2,1,8,32,0.5,1.0,0.0,1,0.05,0,0.05,0.5,0.97,0.5,0.1,0.0,42,0.6,30,0.9,100.0,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_posthost_one_edit_hierarchical_runtime_safe_zero_halfval_smoke_20260328_013900/01_host_plus_plugin/track_results,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_posthost_one_edit_hierarchical_runtime_safe_zero_halfval_smoke_20260328_013900/01_host_plus_plugin/trackeval/eval/01_host_plus_plugin,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_posthost_one_edit_hierarchical_runtime_safe_zero_halfval_smoke_20260328_013900/shared_pair_core.log,7013,3,0,3,0,0,3,3,0,0,7009,1,1012,0,0,0,0,0,0,3,0,0,3,77.611,76.572,86.295,90.174,186,success,
