arm,exp_name,protocol_tag,official_exp_file,official_checkpoint,official_experiment_name,host_variant,tracker_mode,graph_checkpoint,graph_topk,graph_min_detections,graph_min_committed_matches,graph_max_detections,graph_max_tracks,graph_cluster_gate_thresh,graph_cluster_gate_temp,graph_cluster_gate_bias,track_thresh,track_buffer,match_thresh,min_box_area,results_dir,eval_dir,log_path,eligible_clusters,replaced_clusters,matched_dets,deferred_dets,blocked_tracks,gate_pass_clusters,gate_filtered_clusters,trigger_filtered_clusters,skipped_large_clusters,HOTA,AssA,IDF1,MOTA,IDSW,status,error
00_host_only,official_bytetrack_local_conflict_halfval_pair,official_bytetrack_x_mot17_valhalf_pair,/gemini/code/FMtrack-main/FM-Track/third_party/ByteTrack/exps/example/mot/yolox_x_mix_det_valhalf.py,/gemini/code/FMtrack-main/FM-Track/weight/bytetrack_x_mot17.pth.tar,official_bytetrack_local_conflict_halfval_pair_00_host_only,official_bytetrack_x_mot17_valhalf,host_only,,,,,,,,,,0.6,30,0.9,100.0,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_local_conflict_halfval_pair_20260325_183100/00_host_only/track_results,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_local_conflict_halfval_pair_20260325_183100/00_host_only/trackeval,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_local_conflict_halfval_pair_20260325_183100/00_host_only/run.log,,,,,,,,,,,,,,,failed,No tracking outputs produced in /gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_local_conflict_halfval_pair_20260325_183100/00_host_only/track_results
01_host_plus_plugin,official_bytetrack_local_conflict_halfval_pair,official_bytetrack_x_mot17_valhalf_pair,/gemini/code/FMtrack-main/FM-Track/third_party/ByteTrack/exps/example/mot/yolox_x_mix_det_valhalf.py,/gemini/code/FMtrack-main/FM-Track/weight/bytetrack_x_mot17.pth.tar,official_bytetrack_local_conflict_halfval_pair_01_host_plus_plugin,official_bytetrack_x_mot17_valhalf,host_plus_plugin,/gemini/code/FMtrack-main/FM-Track/outputs/local_conflict_set_predictor_large_base_stable_20260325_023500/01_stage1/best.pt,8,2,2,8,32,0.5,1.0,0.0,0.6,30,0.9,100.0,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_local_conflict_halfval_pair_20260325_183100/01_host_plus_plugin/track_results,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_local_conflict_halfval_pair_20260325_183100/01_host_plus_plugin/trackeval,/gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_local_conflict_halfval_pair_20260325_183100/01_host_plus_plugin/run.log,,,,,,,,,,,,,,,failed,No tracking outputs produced in /gemini/code/FMtrack-main/FM-Track/outputs/official_bytetrack_local_conflict_halfval_pair_20260325_183100/01_host_plus_plugin/track_results
