step,name,status,run_root,summary_csv,log_path,started_at,finished_at,seq_ids,HOTA,AssA,IDF1,MOTA,delta_HOTA,delta_AssA,delta_IDF1,delta_MOTA,delta_IDs,delta_Frag,changed_blocks,forced_matches,accepted_candidates,rejected_candidates,notes,params_json
reference_current_best,graphassoc_gate_mix_rankv2_decsurf_all5_hn050w3_evalqueued_20260429_1150,reference,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_mix_rankv2_decsurf_all5_hn050w3_evalqueued_20260429_1150,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_mix_rankv2_decsurf_all5_hn050w3_evalqueued_20260429_1150/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_mix_rankv2_decsurf_all5_hn050w3_evalqueued_20260429_1150/logs/compare.log,,,2|5,76.835,72.942,87.236,93.228,-0.038000000000010914,-0.06700000000000728,-0.06499999999999773,-0.020000000000010232,12,2,62,118,62,161,current best graph-assoc checkpoint used as calibration reference,"{""reference_run_root"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_mix_rankv2_decsurf_all5_hn050w3_evalqueued_20260429_1150"", ""gate_checkpoint"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_trainonly_mix_rankv2_decsurf_all5_hn050w3_20260429_1146/train_gate/best.pt""}"
05_pmn_t260_rw125,pmn_t260_rw125,success,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_calibration_next5h_20260501_from05_20260501_001657/runs/05_pmn_t260_rw125,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_calibration_next5h_20260501_from05_20260501_001657/runs/05_pmn_t260_rw125/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_calibration_next5h_20260501_from05_20260501_001657/logs/05_pmn_t260_rw125.log,2026-05-01T00:17:03+08:00,2026-05-01T01:35:54+08:00,2|5,76.876,73.027,87.326,93.234,0.0030000000000001137,0.018000000000000682,0.024999999999991473,-0.014000000000010004,5,1,34,63,34,183,narrow calibration sweep around the current best gate operating point | complete,"{""threshold"": 0.26, ""neutral_risk_weight"": 1.25}"
06_pmn_t260_rw140,pmn_t260_rw140,success,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_calibration_next5h_20260501_from05_20260501_001657/runs/06_pmn_t260_rw140,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_calibration_next5h_20260501_from05_20260501_001657/runs/06_pmn_t260_rw140/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_calibration_next5h_20260501_from05_20260501_001657/logs/06_pmn_t260_rw140.log,2026-05-01T01:35:54+08:00,2026-05-01T02:57:25+08:00,2|5,76.876,73.028,87.326,93.234,0.0030000000000001137,0.019000000000005457,0.024999999999991473,-0.014000000000010004,4,1,32,62,32,186,narrow calibration sweep around the current best gate operating point | complete,"{""threshold"": 0.26, ""neutral_risk_weight"": 1.4}"
