step,name,status,run_root,summary_csv,log_path,started_at,finished_at,artifact_path,artifact_path_2,source_manifest,train_jsonl,val_jsonl,checkpoint,best_epoch,best_metric,best_threshold,train_rows,val_rows,sources,rows_total,rules_pass_rows,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,delta_hota,delta_assa,delta_idf1,delta_mota,delta_ids,delta_frag,notes,params_json
queue,graphassoc_gate_next5h_deep_rank_reuse_20260426_200233,failed,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_deep_rank_reuse_20260426_200233,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_deep_rank_reuse_20260426_200233/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_deep_rank_reuse_20260426_200233/logs/queue.log,,2026-04-26T19:51:34+08:00,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_deep_rank_reuse_20260426_200233,/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv,,,,,,,,,,,,,,,,,,,,,,,train_graph_assoc_gate failed with return code 1,"{""batch_size"": 32, ""commit_score_margin"": 0.0, ""dataset"": ""MOT20"", ""dropout"": 0.15, ""epochs"": 180, ""eval_device"": ""cuda"", ""hidden_dim"": 64, ""init_checkpoint"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_20260424_230311/train_gate/best.pt"", ""model_type"": ""dual_head"", ""num_hidden_layers"": 3, ""reuse_dataset_dir"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_20260424_230311/gate_dataset"", ""seq_ids"": [2, 5], ""source_manifest"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv"", ""split"": ""train"", ""split_part"": ""val_half"", ""train_device"": ""cuda""}"
build_dataset,build_graph_assoc_gate_dataset,success,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_deep_rank_reuse_20260426_200233,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_deep_rank_reuse_20260426_200233/gate_dataset/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_deep_rank_reuse_20260426_200233/logs/build_dataset.log,2026-04-26T19:50:56+08:00,2026-04-26T19:51:14+08:00,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_deep_rank_reuse_20260426_200233/gate_dataset/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_deep_rank_reuse_20260426_200233/gate_dataset/train.jsonl,/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_deep_rank_reuse_20260426_200233/gate_dataset/train.jsonl,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_deep_rank_reuse_20260426_200233/gate_dataset/val.jsonl,,,,,136,5,1,141,141,,,,,,,,,,,,"gate dataset ready, sources=1 train_rows=136 val_rows=5","{""batch_size"": 32, ""commit_score_margin"": 0.0, ""dataset"": ""MOT20"", ""dropout"": 0.15, ""epochs"": 180, ""eval_device"": ""cuda"", ""hidden_dim"": 64, ""init_checkpoint"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_20260424_230311/train_gate/best.pt"", ""model_type"": ""dual_head"", ""num_hidden_layers"": 3, ""reuse_dataset_dir"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_20260424_230311/gate_dataset"", ""seq_ids"": [2, 5], ""source_manifest"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv"", ""split"": ""train"", ""split_part"": ""val_half"", ""train_device"": ""cuda""}"
train_gate,train_graph_assoc_gate_dual_head,failed,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_deep_rank_reuse_20260426_200233,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_deep_rank_reuse_20260426_200233/train_gate/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_deep_rank_reuse_20260426_200233/logs/train_gate.log,2026-04-26T19:51:19+08:00,2026-04-26T19:51:34+08:00,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_deep_rank_reuse_20260426_200233/train_gate/best.pt,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_deep_rank_reuse_20260426_200233/train_gate/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_deep_rank_reuse_20260426_200233/gate_dataset/train.jsonl,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_deep_rank_reuse_20260426_200233/gate_dataset/val.jsonl,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_deep_rank_reuse_20260426_200233/train_gate/best.pt,,,,,,,,,,,,,,,,,,,,warm-start dual-head gate training | failed: train_graph_assoc_gate failed with return code 1,"{""batch_size"": 32, ""commit_score_margin"": 0.0, ""dataset"": ""MOT20"", ""dropout"": 0.15, ""epochs"": 180, ""eval_device"": ""cuda"", ""hidden_dim"": 64, ""init_checkpoint"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_20260424_230311/train_gate/best.pt"", ""model_type"": ""dual_head"", ""num_hidden_layers"": 3, ""reuse_dataset_dir"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_20260424_230311/gate_dataset"", ""seq_ids"": [2, 5], ""source_manifest"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv"", ""split"": ""train"", ""split_part"": ""val_half"", ""train_device"": ""cuda""}"
eval_replace_rules,eval_graphassoc_gate_replace_rules,cancelled,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_deep_rank_reuse_20260426_200233,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_deep_rank_reuse_20260426_200233/mot20_eval/summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_deep_rank_reuse_20260426_200233/logs/eval_replace_rules.log,,2026-04-26T19:51:34+08:00,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_deep_rank_reuse_20260426_200233/mot20_eval/metrics_compare.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_deep_rank_reuse_20260426_200233/mot20_eval/metrics_delta.csv,/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv,,,/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_deep_rank_reuse_20260426_200233/train_gate/best.pt,,,,,,,,,,,,,,,,,,,,MOT20 evaluation with learned gate replacing hand-coded rules | cancelled_after_failure,"{""batch_size"": 32, ""commit_score_margin"": 0.0, ""dataset"": ""MOT20"", ""dropout"": 0.15, ""epochs"": 180, ""eval_device"": ""cuda"", ""hidden_dim"": 64, ""init_checkpoint"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_20260424_230311/train_gate/best.pt"", ""model_type"": ""dual_head"", ""num_hidden_layers"": 3, ""reuse_dataset_dir"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graphassoc_gate_next5h_20260424_230311/gate_dataset"", ""seq_ids"": [2, 5], ""source_manifest"": ""/gemini/code/FMtrack-main/FM-Track/outputs/graph_assoc_commit_mot17_expand_20260424_150607/source_manifest.csv"", ""split"": ""train"", ""split_part"": ""val_half"", ""train_device"": ""cuda""}"
