feature
donor_total_rows_raw
receiver_total_rows_raw
donor_span_raw
receiver_span_raw
donor_history_rows_raw
receiver_history_rows_raw
donor_future_rows_raw
receiver_future_rows_raw
donor_history_fraction_raw
receiver_history_fraction_raw
donor_gap_to_start_raw
receiver_gap_to_start_raw
donor_ephemeral_log_ratio
history_imbalance_log_raw
future_to_donor_rows_ratio
overlap_rows_raw
overlap_iou_mean
overlap_iou_max
overlap_iou_ge_030_fraction
overlap_iou_ge_050_fraction
overlap_center_distance_mean
overlap_center_distance_min
overlap_score_absdiff_mean
donor_receiver_boundary_center_norm
donor_receiver_boundary_bottom_norm
donor_receiver_boundary_log_size
donor_receiver_boundary_score_absdiff
receiver_boundary_center_jump_norm
receiver_boundary_bottom_jump_norm
receiver_boundary_log_size_jump
receiver_boundary_score_jump
receiver_w5_pre_speed_norm
receiver_w5_post_speed_norm
receiver_w5_velocity_delta_norm
receiver_w5_velocity_direction_change
receiver_w5_log_size_velocity_delta
receiver_w5_pre_backtest_error_mean
receiver_self_error_w5_h5_mean
receiver_self_error_w5_h5_q75
receiver_self_error_w5_h5_max
donor_transfer_error_w5_h5_mean
donor_transfer_error_w5_h5_q75
donor_transfer_error_w5_h5_max
receiver_change_ratio_w5_h5
donor_minus_receiver_error_w5_h5
receiver_self_error_w5_h20_mean
receiver_self_error_w5_h20_q75
receiver_self_error_w5_h20_max
donor_transfer_error_w5_h20_mean
donor_transfer_error_w5_h20_q75
donor_transfer_error_w5_h20_max
receiver_change_ratio_w5_h20
donor_minus_receiver_error_w5_h20
receiver_w20_pre_speed_norm
receiver_w20_post_speed_norm
receiver_w20_velocity_delta_norm
receiver_w20_velocity_direction_change
receiver_w20_log_size_velocity_delta
receiver_w20_pre_backtest_error_mean
receiver_self_error_w20_h5_mean
receiver_self_error_w20_h5_q75
receiver_self_error_w20_h5_max
donor_transfer_error_w20_h5_mean
donor_transfer_error_w20_h5_q75
donor_transfer_error_w20_h5_max
receiver_change_ratio_w20_h5
donor_minus_receiver_error_w20_h5
receiver_self_error_w20_h20_mean
receiver_self_error_w20_h20_q75
receiver_self_error_w20_h20_max
donor_transfer_error_w20_h20_mean
donor_transfer_error_w20_h20_q75
donor_transfer_error_w20_h20_max
receiver_change_ratio_w20_h20
donor_minus_receiver_error_w20_h20
